Health Center Name,City,State,Status
CARE ALLIANCE,CLEVELAND,OH,Invited
"NEIGHBORHOOD HEALTH CARE, INC.",CLEVELAND,OH,Invited
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES, INC.",CLEVELAND,OH,Invited
"COLUMBUS NEIGHBORHOOD HEALTH CENTER, INC.",COLUMBUS,OH,Invited
HEART OF OHIO FAMILY HEALTH CENTERS,COLUMBUS,OH,Invited
LOWER LIGHTS CHRISTIAN HEALTH CENTER INC,COLUMBUS,OH,Invited
SOUTHEAST COMMUNITY MENTAL HEALTH CENTER INC,COLUMBUS,OH,Invited
COMMUNITY HEALTH CENTERS OF GREATER DAYTON,DAYTON,OH,Invited
"BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM, INC.",HAMILTON,OH,Invited
IRONTON AND LAWRENCE COUNTY AREA COMMUNITY ACTION ORGANIZATION,IRONTON,OH,Invited
FAIRFIELD COMMUNITY HEALTH CENTER,LANCASTER,OH,Invited
HEALTH PARTNERS OF WESTERN OHIO,LIMA,OH,Participating
3RD STREET COMMUNITY CLINIC,MANSFIELD,OH,Invited
"CENTER STREET COMMUNITY CLINIC, INC.",MARION,OH,Invited
SHAWNEE MENTAL HEALTH CENTER INC,PORTSMOUTH,OH,Invited
"ERIE, COUNTY OF",SANDUSKY,OH,Invited
"OHIO NORTH EAST HEALTH SYSTEMS, INC.",YOUNGSTOWN,OH,Invited
SHORTGRASS COMMUNITY HEALTH CENTER INC.,HOLLIS,OK,Invited
"VARIETY CARE, INC.",OKLAHOMA CITY,OK,Participating
STIGLER HEALTH & WELLNESS CENTER INC.,STIGLER,OK,Invited
"COMMUNITY HEALTH CONNECTION, INC.",TULSA,OK,Invited
VIRGINIA GARCIA MEMORIAL HEALTH CENTER,ALOHA,OR,Participating
COUNTY OF LANE,EUGENE,OR,Participating
WHITE BIRD CLINIC,EUGENE,OR,Invited
"SISKIYOU COMMUNITY HEALTH CENTER, INC.",GRANTS PASS,OR,Invited
"LA CLINICA DEL VALLE FAMILY HEALTH CARE CENTER, INC.",MEDFORD,OR,Invited
"CLACKAMAS, COUNTY OF",OREGON CITY,OR,Invited
"MULTNOMAH, COUNTY OF",PORTLAND,OR,Participating
NATIVE AMERICAN REHABILITATION ASSOCIATION INC,PORTLAND,OR,Invited
NEIGHBORHOOD HEALTH CENTER,PORTLAND,OR,Participating
OUTSIDE IN,PORTLAND,OR,Invited
"WALLACE MEDICAL CONCERN, THE",PORTLAND,OR,Invited
MOSAICMEDICAL,PRINEVILLE,OR,Invited
TILLAMOOK COUNTY,TILLAMOOK,OR,Invited
REPUBLIC OF PALAU,PALAU,PW,Invited
NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY,ALLENTOWN,PA,Invited
"STAR COMMUNITY HEALTH, INC.",BETHLEHEM,PA,Invited
"CHESPENN HEALTH SERVICES, INC.",CHESTER,PA,Invited
"CENTERVILLE CLINICS, INCORPORATED",FREDERICKTOWN,PA,Invited
"CORNERSTONE CARE, INC.",GREENSBORO,PA,Invited
"HAMILTON HEALTH CENTER, INC.",HARRISBURG,PA,Invited
LANCASTER HEALTH CENTER,LANCASTER,PA,Invited
WELSH MOUNTAIN HEALTH CENTERS,NEW HOLLAND,PA,Invited
"DELAWARE VALLEY COMMUNITY HEALTH, INC.",PHILADELPHIA,PA,Participating
"ESPERANZA HEALTH CENTER, INC.",PHILADELPHIA,PA,Invited
"GREATER PHILADELPHIA HEALTH ACTION, INCORPORATED",PHILADELPHIA,PA,Invited
PHILADELPHIA FIGHT,PHILADELPHIA,PA,Invited
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,Participating
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,Invited
PROJECT H.O.M.E.,PHILADELPHIA,PA,Invited
PUBLIC HEALTH MANAGEMENT CORPORATION,PHILADELPHIA,PA,Participating
"RESOURCES FOR HUMAN DEVELOPMENT, INC.",PHILADELPHIA,PA,Participating
"SPECTRUM HEALTH SERVICES, INC.",PHILADELPHIA,PA,Invited
"EAST LIBERTY FAMILY HEALTH CARE CENTER, INC.",PITTSBURGH,PA,Invited
NORTH SIDE CHRISTIAN HEALTH CENTER,PITTSBURGH,PA,Invited
"PRIMARY CARE HEALTH SERVICES, INC.",PITTSBURGH,PA,Invited
SQUIRREL HILL HEALTH CENTER,PITTSBURGH,PA,Invited
"COMMUNITY HEALTH AND DENTAL CARE, INC.",POTTSTOWN,PA,Invited
BERKS COMMUNITY HEALTH CENTER,READING,PA,Invited
"WRIGHT CENTER MEDICAL GROUP, THE",SCRANTON,PA,Invited
"SUSQUEHANNA COMMUNITY HEALTH AND DENTAL CLINIC, INC.",WILLIAMSPORT,PA,Participating
FAMILY FIRST HEALTH CORPORATION,YORK,PA,Invited
"CENTRO DE SALUD FAMILIAR DR. JULIO PALMIERI FERRI, INC.",ARROYO,PR,Invited
"SERVICIOS DE SALUD PRIMARIOS DE BARCELONETA, INC.",BARCELONETA,PR,Invited
COMMUNITY HEALTH FOUNDATION OF PUERTO RICO INC.,BAYAMON,PR,Participating
"CORPORACION DE SALUD ASEGURADA POR NUESTRA ORGANIZACIN SOLIDARIA, INC. (S.A.N.O.S.)",CAGUAS,PR,Participating
CAMUY HEALTH SERVICES INC,CAMUY,PR,Invited
"HOSPITAL GENERAL DE CASTANER, INC.",CASTANER,PR,Invited
"PRYMED MEDICAL CARE, INC.",CIALES,PR,Invited
CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA,CIDRA,PR,Participating
"NEOMED CENTER, INC.",GURABO,PR,Participating
CORPORACION DE SERVICIOS MEDICO PRIMARIO Y PREVENCION DE HATILLO,HATILLO,PR,Invited
"CENTRO DE SALUD DE LARES, INC.",LARES,PR,Invited
"CONCILIO DE SALUD INTEGRAL DE LOIZA, INC.",LOIZA,PR,Participating
"MIGRANT HEALTH CENTER WESTERN REGION, INC.",MAYAGUEZ,PR,Participating
MOROVIS COMMUNITY HEALTH CENTER INC,MOROVIS,PR,Invited
SALUD INTEGRAL EN LA MONTANA INC,NARANJITO,PR,Participating
CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC,PATILLAS,PR,Participating
"MED CENTRO, INC.",PONCE,PR,Participating
COSTA SALUD COMMUNITY HEALTH CENTERS INC.,RINCON,PR,Participating
"HPM FOUNDATION, INC",SAN JUAN,PR,Invited
MUNICIPIO DE SAN JUAN,SAN JUAN,PR,Invited
"PUERTO RICO COMMUNITY NETWORK FOR CLINICAL SERVICES, RESEARCH AND HEALTH ADVANCEMENT (PRCONCRA) INC.",SAN JUAN,PR,Invited
"COMPREHENSIVE COMMUNITY ACTION, INC.",CRANSTON,RI,Invited
"WOOD RIVER HEALTH SERVICES, INC.",HOPE VALLEY,RI,Invited
EAST BAY COMMUNITY ACTION PROGRAM,NEWPORT,RI,Invited
NORTHWEST COMMUNITY HEALTH CARE,PASCOAG,RI,Invited
"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC.",PAWTUCKET,RI,Invited
"PROVIDENCE COMMUNITY HEALTH CENTERS, INC., THE",PROVIDENCE,RI,Participating
THUNDERMIST HEALTH CENTER,WOONSOCKET,RI,Participating
"FETTER HEALTH CARE NETWORK, INC.",CHARLESTON,SC,Participating
"RURAL HEALTH SERVICES, INC.",CLEARWATER,SC,Invited
EAU CLAIRE COOPERATIVE HEALTH CENTER,COLUMBIA,SC,Participating
"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC.",CONWAY,SC,Invited
"LOW COUNTRY HEALTH CARE SYSTEM, INC.",FAIRFAX,SC,Invited
"HOPEHEALTH, INC.",FLORENCE,SC,Participating
"NEW HORIZON FAMILY HEALTH SERVICES, INC",GREENVILLE,SC,Invited
CARE SOUTH CAROLINA INC,HARTSVILLE,SC,Invited
"LITTLE RIVER MEDICAL CENTER, INC.",LITTLE RIVER,SC,Invited
ST. JAMES HEALTH AND WELLNESS INC.,MCCLELLANVLE,SC,Invited
"FAMILY HEALTH CENTERS, INC.",ORANGEBURG,SC,Invited
"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED",RIDGELAND,SC,Invited
"COMMUNITY MEDICINE FOUNDATION, INC.",ROCK HILL,SC,Invited
ROSA CLARK MEDICAL CLINIC INC,SENECA,SC,Invited
HORIZON HEALTH CARE INC,HOWARD,SD,Participating
OCOEE REGIONAL HEALTH CORPORATION,BENTON,TN,Invited
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,CHATTANOOGA,TN,Invited
"HEALTH, TENNESSEE DEPT OF",COOKEVILLE,TN,Invited
CHEROKEE HEALTH SYSTEMS,KNOXVILLE,TN,Participating
"CHRIST COMMUNITY HEALTH SERVICES, INC.",MEMPHIS,TN,Invited
"MEMPHIS HEALTH CENTER, INC.",MEMPHIS,TN,Invited
TRI-STATE COMMUNITY HEALTH CENTER,MEMPHIS,TN,Invited
"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",NASHVILLE,TN,Invited
TENNESSEE DEPT OF HEALTH,NASHVILLE,TN,Invited
TENNESSEE STATE DEPARTMENT OF HEALTH,NASHVILLE,TN,Invited
"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",NASHVILLE,TN,Invited
"RURAL HEALTH SERVICES CONSORTIUM, INC.",ROGERSVILLE,TN,Invited
HOPE FAMILY HEALTH SERVICES,WESTMORELAND,TN,Invited
COMMUNITY ACTION CORPORATION OF SOUTH TEXAS,ALICE,TX,Participating
"STEPHEN F. AUSTIN COMMUNITY HEALTH CENTER, INC.",ALVIN,TX,Invited
PEOPLE'S COMMUNITY CLINIC,AUSTIN,TX,Participating
TRAVIS COUNTY HEALTHCARE DISTRICT,AUSTIN,TX,Participating
MATAGORDA EPISCOPAL HEALTH OUTREACH PROGRAM CORPORATION,BAY CITY,TX,Invited
HEALTH CENTER OF SOUTHEAST TEXAS,CLEVELAND,TX,Participating
"BRAZOS VALLEY COMMUNITY ACTION AGENCY, INC.",COLLEGE STA,TX,Invited
"LONE STAR COMMUNITY HEALTH CENTER, INC",CONROE,TX,Invited
AMISTAD COMMUNITY HEALTH CENTER.,CORPUS CHRISTI,TX,Invited
"COASTAL BEND WELLNESS FOUNDATION, INC.",CORPUS CHRISTI,TX,Invited
"SOUTH TEXAS RURAL HEALTH SERVICES, INC",COTULLA,TX,Invited
VIDAYSALUD HEALTH SYSTEM INC,CRYSTAL CITY,TX,Invited
DALLAS COUNTY HOSPITAL DISTRICT,DALLAS,TX,Invited
"HEALING HANDS MINISTRIES, INC.",DALLAS,TX,Invited
"LOS BARRIOS UNIDOS COMMUNITY CLINIC, INC.",DALLAS,TX,Invited
MARTIN LUTHER KING JR FAMILY CLINIC INC,DALLAS,TX,Invited
MISSION EAST DALLAS AND METROPLEX PROJECT,DALLAS,TX,Invited
UNITED MEDICAL CENTERS,EAGLE PASS,TX,Participating
"CENTRO DE SALUD FAMILIAR LA FE, INC",EL PASO,TX,Invited
CENTRO SAN VICENTE,EL PASO,TX,Participating
PROJECT VIDA HEALTH CENTER,EL PASO,TX,Participating
NORTH TEXAS AREA COMMUNITY HEALTH CENTERS INC,FORT WORTH,TX,Participating
LONE STAR CIRCLE OF CARE,GEORGETOWN,TX,Participating
"COMMUNITY HEALTH CENTERS OF SOUTH CENTRAL TEXAS, INC.",GONZALES,TX,Invited
SU CLINICA FAMILIAR,HARLINGEN,TX,Participating
"ASIAN AMERICAN HEALTH COALITION OF THE GREATER HOUSTON AREA, INC.",HOUSTON,TX,Invited
BEE BUSY WELLNESS CENTER,HOUSTON,TX,Invited
EL CENTRO DEL CORAZON,HOUSTON,TX,Participating
HARRIS HEALTH SYSTEM,HOUSTON,TX,Invited
HEALTH CARE FOR THE HOMELESS-HOUSTON,HOUSTON,TX,Invited
"HOUSTON AREA COMMUNITY SERVICES, INC.",HOUSTON,TX,Invited
"HOUSTON COMMUNITY HEALTH CENTERS, INC.",HOUSTON,TX,Invited
"LEGACY COMMUNITY HEALTH SERVICES, INC.",HOUSTON,TX,Participating
SAINT HOPE FOUNDATION,HOUSTON,TX,Invited
SPRING BRANCH COMMUNITY HEALTH CENTER,HOUSTON,TX,Participating
GATEWAY COMMUNITY HEALTH CENTER INC,LAREDO,TX,Participating
SOUTH PLAINS RURAL HEALTH SERVICES INC,LEVELLAND,TX,Invited
"SPECIAL HEALTH RESOURCES FOR TEXAS, INCORPORATED",LONGVIEW,TX,Invited
"COMMUNITY HEALTH CENTER OF LUBBOCK, INC., THE",LUBBOCK,TX,Invited
MIDLAND COMMUNITY HEALTHCARE SERVICES,MIDLAND,TX,Invited
"PASADENA HEALTH CENTER, INC.",PASADENA,TX,Invited
"NUESTRA CLINICA DEL VALLE, INC.",PHARR,TX,Participating
"REGENCE HEALTH NETWORK, INC.",PLAINVIEW,TX,Invited
"ATASCOSA HEALTH CENTER, INC.",PLEASANTON,TX,Invited
"GULF COAST HEALTH CENTER, INC.",PORT ARTHUR,TX,Invited
"FORT BEND FAMILY HEALTH CENTER, INC.",RICHMOND,TX,Invited
"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",SAN ANTONIO,TX,Participating
EL CENTRO DEL BARRIO,SAN ANTONIO,TX,Participating
"CACTUS HEALTH SERVICES, INC.",SANDERSON,TX,Invited
COASTAL HEALTH & WELLNESS,TEXAS CITY,TX,Invited
TYLER FAMILY CIRCLE OF CARE,TYLER,TX,Invited
COMMUNITY HEALTH DEVELOPMENT INC,UVALDE,TX,Invited
"HEART OF TEXAS COMMUNITY HEALTH CENTER, INC.",WACO,TX,Participating
"PAIUTE INDIAN TRIBE OF UTAH, THE",CEDAR CITY,UT,Invited
CARBON MEDICAL SERVICE ASSOCIATION INCORPORATED,EAST CARBON,UT,Invited
"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",GARDEN CITY,UT,Invited
"COMMUNITY HEALTH CENTERS, INC.",MIDVALE,UT,Participating
UTAH PARTNERS FOR HEALTH,MIDVALE,UT,Invited
"UTAH NAVAJO HEALTH SYSTEM, INC.",MONTEZUMA CREEK,UT,Invited
"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC",PROVO,UT,Invited
"WASATCH HOMELESS HEALTH CARE, INC.",SALT LAKE CTY,UT,Invited
"FIVE-TOWN HEALTH ALLIANCE, INC.",BRISTOL,VT,Invited
NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH INC,PLAINFIELD,VT,Invited
"RICHFORD HEALTH CENTER, INC.",RICHFORD,VT,Participating
FREDERIKSTED HEALTH CARE INC,ST CROIX,VI,Participating
ST THOMAS EAST END MEDICAL CENTER CORPORATION,ST THOMAS,VI,Invited
NEIGHBORHOOD HEALTH,ALEXANDRIA,VA,Participating
BLUE RIDGE MEDICAL CENTER INC,ARRINGTON,VA,Invited
PIEDMONT ACCESS TO HEALTH SERVICES INC,DANVILLE,VA,Participating
"HORIZON HEALTH SERVICES, INC.",IVOR,VA,Invited
LOUDOUN COMMUNITY HEALTH CENTER,LEESBURG,VA,Invited
JOHNSON HEALTH CENTER,MADISON HTS,VA,Invited
"PENINSULA INSTITUTE FOR COMMUNITY HEALTH, INC",NEWPORT NEWS,VA,Invited
"PORTSMOUTH COMMUNITY HEALTH CENTER, INC.",PORTSMOUTH,VA,Invited
DAILY PLANET INC,RICHMOND,VA,Invited
"RICHMOND, CITY OF",RICHMOND,VA,Invited
STONY CREEK COMMUNITY HEALTH CENTER,STONY CREEK,VA,Invited
"SOUTHERN DOMINION HEALTH SYSTEMS, INC.",VICTORIA,VA,Invited
"GREATER PRINCE WILLIAM AREA COMMUNITY HEALTH CENTER, INC.",WOODBRIDGE,VA,Participating
UNITY CARE NORTHWEST,BELLINGHAM,WA,Invited
PENINSULA COMMUNITY HEALTH SERVICES,BREMERTON,WA,Invited
NEW HEALTH PROGRAMS ASSOCIATION,CHEWELAH,WA,Invited
"CONFEDERATED TRIBES OF THE COLVILLE RESERVATION, THE",INCHELIUM,WA,Invited
COWLITZ FAMILY HEALTH CENTER,LONGVIEW,WA,Participating
GRANT COUNTY HOSPITAL DISTRICT 5,MATTAWA,WA,Invited
MOSES LAKE COMMUNITY HEALTH CENTER,MOSES LAKE,WA,Participating
FAMILY HEALTH CENTERS,OKANOGAN,WA,Participating
COLUMBIA BASIN HEALTH ASSOCIATION,OTHELLO,WA,Participating
TRI-CITIES COMMUNITY HEALTH,PASCO,WA,Participating
HEALTHPOINT,RENTON,WA,Participating
COUNTRY DOCTOR COMMUNITY CLINIC,SEATTLE,WA,Participating
INTERNATIONAL COMMUNITY HEALTH SERVICES,SEATTLE,WA,Participating
"KING, COUNTY OF",SEATTLE,WA,Participating
NEIGHBORCARE HEALTH,SEATTLE,WA,Invited
SEA-MAR COMMUNITY HEALTH CENTER,SEATTLE,WA,Participating
SEATTLE INDIAN HEALTH BOARD,SEATTLE,WA,Invited
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,SPOKANE,WA,Participating
"N. A. T. I. V. E. PROJECT, THE",SPOKANE,WA,Invited
COMMUNITY HEALTH CARE,TACOMA,WA,Participating
YAKIMA VALLEY FARM WORKERS CLINIC,TOPPENISH,WA,Participating
COLUMBIA VALLEY COMMUNITY HEALTH,WENATCHEE,WA,Participating
YAKIMA NEIGHBORHOOD HEALTH SERVICES,YAKIMA,WA,Participating
"E. A. HAWSE HEALTH CENTER, INC.",BAKER,WV,Invited
"COMMUNITY HEALTH SYSTEMS, INC.",BECKLEY,WV,Invited
"CAMDEN-ON-GAULEY MEDICAL CENTER, INC.",CAMDEN ON GLY,WV,Invited
"TUG RIVER HEALTH ASSOCIATION, INC",GARY,WV,Invited
PRESTON TAYLOR COMMUNITY HEALTH CENTER,GRAFTON,WV,Invited
"VALLEY HEALTH SYSTEMS, INC.",HUNTINGTON,WV,Participating
"SHENANDOAH VALLEY MEDICAL SYSTEM, INCORPORATED",MARTINSBURG,WV,Participating
MOUNTAINEER COMMUNITY HEALTH CENTER INC,PAW PAW,WV,Invited
"RAINELLE MEDICAL CENTER, INC.",RAINELLE,WV,Invited
"NEW RIVER HEALTH ASSOCIATION, INC.",SCARBRO,WV,Invited
"WOMENCARE, INC.",SCOTT DEPOT,WV,Invited
COMMUNITY HEALTH SYSTEMS INC,BELOIT,WI,Invited
"LAKES COMMUNITY HEALTH CENTER, INC., THE",IRON RIVER,WI,Invited
KENOSHA COMMUNITY HEALTH CENTER INC,KENOSHA,WI,Invited
"ACCESS COMMUNITY HEALTH CENTERS, INC.",MADISON,WI,Invited
"FAMILY HEALTH CENTER OF MARSHFIELD, INC.",MARSHFIELD,WI,Invited
"GERALD L. IGNACE INDIAN HEALTH CENTER, INC.",MILWAUKEE,WI,Invited
"MILWAUKEE HEALTH SERVICES, INC.",MILWAUKEE,WI,Invited
"OUTREACH COMMUNITY HEALTH CENTERS, INC.",MILWAUKEE,WI,Invited
"PROGRESSIVE COMMUNITY HEALTH CENTERS, INC.",MILWAUKEE,WI,Invited
"SIXTEENTH STREET COMMUNITY HEALTH CENTERS, INC.",MILWAUKEE,WI,Invited
"LA CLINICA DE LOS CAMPESINOS, INC.",WAUTOMA,WI,Invited
"COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC.",CASPER,WY,Invited
COMMUNITY ACTION OF LARAMIE COUNTY INC,CHEYENNE,WY,Participating
