Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
"DIMOCK COMMUNITY HEALTH CENTER, INC.",ROXBURY,MA,"DIMOCK COMMUNITY HEALTH CENTER, INC., ROXBURY, MA",Dimock Health Center,"45 Dimock St, Boston, MA 02119, USA",(617) 442-8800,42.3202306,-71.0971809
WHITTIER STREET HEALTH CENTER,ROXBURY,MA,"WHITTIER STREET HEALTH CENTER, ROXBURY, MA",Whittier Street Health Center,"1290 Tremont St, Roxbury, MA 02120, USA",(617) 427-1000,42.3329447,-71.0918706
"CARING HEALTH CENTER, INC.",SPRINGFIELD,MA,"CARING HEALTH CENTER, INC., SPRINGFIELD, MA",Caring Health Center,"1049 Main St, Springfield, MA 01103, USA",(413) 739-1100,42.0996944,-72.5848401
"OUTER CAPE HEALTH SERVICES, INC.",WELLFLEET,MA,"OUTER CAPE HEALTH SERVICES, INC., WELLFLEET, MA",Outer Cape Health Services - Wellfleet Health Center,"3130 US-6, Wellfleet, MA 02667, USA",(508) 349-3131,41.946095,-70.030876
"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC.",WORCESTER,MA,"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC., WORCESTER, MA",Edward M. Kennedy Community Health Center,"650 Lincoln St, Worcester, MA 01605, USA",(508) 854-2122,42.2981818,-71.7642001
"FAMILY HEALTH CENTER OF WORCESTER, INC.",WORCESTER,MA,"FAMILY HEALTH CENTER OF WORCESTER, INC., WORCESTER, MA",Family Health of Worcester,"199 Chandler St, Worcester, MA 01609, USA",(508) 860-7750,42.260883,-71.8167859
"PACKARD HEALTH, INC.",ANN ARBOR,MI,"PACKARD HEALTH, INC., ANN ARBOR, MI",Packard Health Main,"3174 Packard St, Ann Arbor, MI 48108, USA",(734) 971-1073,42.2445334,-83.6965573
BALDWIN FAMILY HEALTH CARE,BALDWIN,MI,"BALDWIN FAMILY HEALTH CARE, BALDWIN, MI","Family Health Care - Pharmacy - Baldwin, MI","1615 Michigan Ave, Baldwin, MI 49304, USA",(231) 745-5024,43.9040129,-85.85229
INTERCARE COMMUNITY HEALTH NETWORK,BANGOR,MI,"INTERCARE COMMUNITY HEALTH NETWORK, BANGOR, MI",InterCare Community Health Network,"308 Charles St, Bangor, MI 49013, USA",(855) 869-6900,42.3128718,-86.1133345
"GRACE HEALTH, INC.",BATTLE CREEK,MI,"GRACE HEALTH, INC., BATTLE CREEK, MI",Grace Health,"181 W Emmett St, Battle Creek, MI 49037, USA",(269) 965-8866,42.3296262,-85.1888378
BAY MILLS INDIAN COMMUNITY,BRIMLEY,MI,"BAY MILLS INDIAN COMMUNITY, BRIMLEY, MI",Bay Mills,"Bay Mills, MI 49715, USA",,46.4372433,-84.5839401
FAMILY MEDICAL CENTER OF MICHIGAN INC,CARLETON,MI,"FAMILY MEDICAL CENTER OF MICHIGAN INC, CARLETON, MI",Family Medical Center,"130 Medical Center Dr, Carleton, MI 48117, USA",(734) 654-2169,42.0563183,-83.3793107
LAKELAND IMMEDIATE CARE CENTER,CASSOPOLIS,MI,"LAKELAND IMMEDIATE CARE CENTER, CASSOPOLIS, MI",Cassopolis Family Clinic Network,"261 M-62, Cassopolis, MI 49031, USA",(269) 445-3874,41.91964,-86.0153024
"COVERED BRIDGE HEALTHCARE OF ST. JOSEPH COUNTY, INC.",CENTREVILLE,MI,"COVERED BRIDGE HEALTHCARE OF ST. JOSEPH COUNTY, INC., CENTREVILLE, MI",Covered Bridge Healthcare,"658 E Main St, Centreville, MI 49032, USA",(269) 467-3228,41.92277,-85.5140084
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC.",DETROIT,MI,"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC., DETROIT, MI",CHASS Center,"5635 W Fort St, Detroit, MI 48209, USA",(313) 849-3920,42.3090658,-83.096796
"COVENANT COMMUNITY CARE, INC.",DETROIT,MI,"COVENANT COMMUNITY CARE, INC., DETROIT, MI","Covenant Community Care, Inc","559 W Grand Blvd, Detroit, MI 48216, USA",(313) 554-0485,42.324429,-83.0908412
"DETROIT CENTRAL CITY COMMUNITY MENTAL HEALTH, INCORPORATED",DETROIT,MI,"DETROIT CENTRAL CITY COMMUNITY MENTAL HEALTH, INCORPORATED, DETROIT, MI",Detroit Central City Community Mental Health,"10 Peterboro St, Detroit, MI 48201, USA",(313) 831-3160,42.3453494,-83.0569411
DETROIT COMMUNITY HEALTH CONNECTION,DETROIT,MI,"DETROIT COMMUNITY HEALTH CONNECTION, DETROIT, MI",Detroit Community Health Connection,"13901 E Jefferson Ave, Detroit, MI 48215, USA",(313) 822-0900,42.3715577,-82.9481766
DETROIT HEALTH CARE FOR THE HOMELESS,DETROIT,MI,"DETROIT HEALTH CARE FOR THE HOMELESS, DETROIT, MI",Advantage Health Centers,"15400 W McNichols Rd, Detroit, MI 48235, USA",(313) 416-6262,42.416246,-83.1985201
"WELLNESS PLAN, THE",DETROIT,MI,"WELLNESS PLAN, THE, DETROIT, MI",The Wellness Plan Medical Centers - Gateway Medical Center,"2888 W Grand Blvd, Detroit, MI 48202, USA",(313) 875-4200,42.3668128,-83.080961
GENESEE HEALTH SYSTEM,FLINT,MI,"GENESEE HEALTH SYSTEM, FLINT, MI",Genesee Health System,"420 W 5th Ave, Flint, MI 48503, USA",(810) 257-3705,43.0213741,-83.7006864
"HAMILTON COMMUNITY HEALTH NETWORK, INC.",FLINT,MI,"HAMILTON COMMUNITY HEALTH NETWORK, INC., FLINT, MI",Hamilton Community Health Network Main Clinic,"2900 Saginaw St, Flint, MI 48505, USA",(810) 406-4246,43.0420316,-83.6923842
"CHERRY STREET SERVICES, INC.",GRAND RAPIDS,MI,"CHERRY STREET SERVICES, INC., GRAND RAPIDS, MI",Cherry Street Health Services: Peterson Joanne H MD,"550 Cherry St SE, Grand Rapids, MI 49503, USA",(616) 235-7272,42.9591174,-85.6546215
UPPER GREAT LAKES FAMILY HEALTH CENTER,GWINN,MI,"UPPER GREAT LAKES FAMILY HEALTH CENTER, GWINN, MI",Upper Great Lakes Gwinn Family Health Center,"135 M-35, Gwinn, MI 49841, USA",(906) 346-9275,46.2755661,-87.4221267
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",HILLMAN,MI,"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED, HILLMAN, MI","Thunder Bay Community Health Service, Inc.","15774 State St, Hillman, MI 49746, USA",(989) 742-4583,45.070034,-83.9017181
WESTERN WAYNE FAMILY HEALTH CENTERS,INKSTER,MI,"WESTERN WAYNE FAMILY HEALTH CENTERS, INKSTER, MI",Western Wayne Family Health Centers,"2700 Hamlin Blvd, Inkster, MI 48141, USA",(313) 561-5100,42.291375,-83.3116373
FAMILY HEALTH CENTER INC.,KALAMAZOO,MI,"FAMILY HEALTH CENTER INC., KALAMAZOO, MI",Family Health Center - Paterson,"117 W Paterson St, Kalamazoo, MI 49007, USA",(269) 349-2641,42.3029365,-85.5846143
"INGHAM, COUNTY OF",LANSING,MI,"INGHAM, COUNTY OF, LANSING, MI",Lansing,"Lansing, MI, USA",,42.732535,-84.5555347
"ALCONA CITIZENS FOR HEALTH, INC.",LINCOLN,MI,"ALCONA CITIZENS FOR HEALTH, INC., LINCOLN, MI",Alcona Health Center,"177 N Barlow Rd, Lincoln, MI 48742, USA",(989) 736-8157,44.661088,-83.4037247
HACKLEY COMMUNITY CARE CENTER INC,MUSKEGON,MI,"HACKLEY COMMUNITY CARE CENTER INC, MUSKEGON, MI",Hackley Community Care,"1675 Leahy St #103, Muskegon, MI 49442, USA",(231) 733-6800,43.2214973,-86.2411144
OAKLAND INTEGRATED HEALTHCARE NETWORK,PONTIAC,MI,"OAKLAND INTEGRATED HEALTHCARE NETWORK, PONTIAC, MI",OIHN - Baldwin Health Center,"1701 Baldwin Ave, Pontiac, MI 48340, USA",(248) 724-7600,42.682693,-83.3022911
GREAT LAKES BAY HEALTH CENTERS,SAGINAW,MI,"GREAT LAKES BAY HEALTH CENTERS, SAGINAW, MI",Great Lakes Bay Health Centers,"3023 Davenport Ave, Saginaw, MI 48602, USA",(989) 907-2761,43.4377015,-83.9817304
CEDAR-RIVERSIDE PEOPLES CENTER,MINNEAPOLIS,MN,"CEDAR-RIVERSIDE PEOPLES CENTER, MINNEAPOLIS, MN",People's Center Clinics and Services,"425 20th Ave S, Minneapolis, MN 55454, USA",(612) 332-4973,44.9690685,-93.2439015
HENNEPIN COUNTY COMMUNITY HEALTH DEPARTMENT,MINNEAPOLIS,MN,"HENNEPIN COUNTY COMMUNITY HEALTH DEPARTMENT, MINNEAPOLIS, MN",Hennepin County Public Health,"525 Portland Ave, Minneapolis, MN 55415, USA",(612) 348-3925,44.9744585,-93.262956
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE",MINNEAPOLIS,MN,"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE, MINNEAPOLIS, MN",Hennepin County Public Health,"525 Portland Ave, Minneapolis, MN 55415, USA",(612) 348-3925,44.9744585,-93.262956
INDIAN HEALTH BOARD OF MINNEAPOLIS INC,MINNEAPOLIS,MN,"INDIAN HEALTH BOARD OF MINNEAPOLIS INC, MINNEAPOLIS, MN",Indian Health Board Medical & Dental Center,"1315 E 24th St, Minneapolis, MN 55404, USA",(612) 721-9800,44.9589534,-93.2553313
NATIVE AMERICAN COMMUNITY CLINIC,MINNEAPOLIS,MN,"NATIVE AMERICAN COMMUNITY CLINIC, MINNEAPOLIS, MN",Native American Community Clinic,"1213 E Franklin Ave, Minneapolis, MN 55404, USA",(612) 872-8086,44.9621013,-93.2568843
NEIGHBORHOOD HEALTHSOURCE,MINNEAPOLIS,MN,"NEIGHBORHOOD HEALTHSOURCE, MINNEAPOLIS, MN",Central Clinic - Neighborhood HealthSource,"2301 Central Ave NE, Minneapolis, MN 55418, USA",(612) 588-9411,45.0110272,-93.2470708
REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,"REGENTS OF THE UNIVERSITY OF MINNESOTA, MINNEAPOLIS, MN",Regents of the University of Mn,"600 McNamara Alumni Center S.E., 200 SE Oak St, Minneapolis, MN 55455, USA",(612) 625-6300,44.9753198,-93.2279939
"SOUTHSIDE COMMUNITY HEALTH SERVICES, INC.",MINNEAPOLIS,MN,"SOUTHSIDE COMMUNITY HEALTH SERVICES, INC., MINNEAPOLIS, MN",Southside Community Health Services,"324 E 35th St, Minneapolis, MN 55408, USA",(612) 827-7181,44.9401838,-93.2717639
COMMUNITY HEALTH SERVICE INC.,MOORHEAD,MN,"COMMUNITY HEALTH SERVICE INC., MOORHEAD, MN","Community Health Service, Inc.","810 4th Ave S #101, Moorhead, MN 56560, USA",(218) 236-6502,46.8712238,-96.7671452
"OPEN CITIES HEALTH CENTER, INC.",SAINT PAUL,MN,"OPEN CITIES HEALTH CENTER, INC., SAINT PAUL, MN",Open Cities Health Center,"409 N Dunlap St, St Paul, MN 55104, USA",(651) 290-9200,44.9533209,-93.1495692
"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",SAINT PAUL,MN,"WEST SIDE COMMUNITY HEALTH SERVICES, INC., SAINT PAUL, MN",West Side Community Health Services,"153 Cesar Chavez St, St Paul, MN 55107, USA",(651) 602-7500,44.9301586,-93.0780312
"NORTH MISSISSIPPI PRIMARY HEALTH CARE, INC.",ASHLAND,MS,"NORTH MISSISSIPPI PRIMARY HEALTH CARE, INC., ASHLAND, MS",Benton Medical Center,"15921 Boundary Dr, Ashland, MS 38603, USA",(662) 224-8951,34.8292955,-89.1901716
"COASTAL FAMILY HEALTH CENTER, INC.",BILOXI,MS,"COASTAL FAMILY HEALTH CENTER, INC., BILOXI, MS",Coastal Family Health Center Biloxi,"715A Division St, Biloxi, MS 39530, USA",(228) 374-2494,30.4029201,-88.8862822
"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC.",CANTON,MS,"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC., CANTON, MS",G.A. Carmichael Family Health Center,"1668 W Peace St, Canton, MS 39046, USA",(601) 859-5213,32.6117044,-90.0528202
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",CLARKSDALE,MS,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC., CLARKSDALE, MS","Aaron E Henry Community Health Services Center, Inc.","510 MS-322, Clarksdale, MS 38614, USA",(662) 624-4292,34.1899439,-90.5952465
JEFFERSON COMPREHENSIVE HEALTH CENTER INC,FAYETTE,MS,"JEFFERSON COMPREHENSIVE HEALTH CENTER INC, FAYETTE, MS",Jefferson Comprehensive Center,"1188, 998 Main St, Fayette, MS 39069, USA",(601) 786-3475,31.7044395,-91.0762527
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",HATTIESBURG,MS,"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC., HATTIESBURG, MS",Southeast Mississippi Rural Health Initiative Administrative Services,"5488 US 49, Hattiesburg, MS 39401, USA",(601) 545-8700,31.2870982,-89.2985393
"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC.",JACKSON,MS,"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC., JACKSON, MS","Central MS Civic Improvement Association, Inc.","3502 W Northside Dr, Jackson, MS 39213, USA",(601) 362-5321 ext. 223,32.3569138,-90.2344763
"CENTRAL MISSISSIPPI HEALTH SERVICES, INC.",JACKSON,MS,"CENTRAL MISSISSIPPI HEALTH SERVICES, INC., JACKSON, MS","Central Mississippi Health Services, Inc.","1134 Winter St, Jackson, MS 39204, USA",(601) 948-5572,32.291066,-90.2049952
"FAMILY HEALTH CENTER, INC.",LAUREL,MS,"FAMILY HEALTH CENTER, INC., LAUREL, MS","Family Health Center, Inc","103 S 12th Ave, Laurel, MS 39440, USA",(601) 399-1970,31.6892535,-89.1410992
"DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC.",LEXINGTON,MS,"DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC., LEXINGTON, MS",Mallory Community Health Center,"17280 MS-17, Lexington, MS 39095, USA",(662) 834-1857,33.1034618,-90.0531748
"AMITE COUNTY MEDICAL SERVICES, INC.",LIBERTY,MS,"AMITE COUNTY MEDICAL SERVICES, INC., LIBERTY, MS",Amite County Medical Svcs Inc,"102 W Freedom Dr, Liberty, MS 39645, USA",(601) 657-8091,31.1633432,-90.7956023
"GREATER MERIDIAN HEALTH CLINIC, INC",MERIDIAN,MS,"GREATER MERIDIAN HEALTH CLINIC, INC, MERIDIAN, MS","Greater Meridian Health Clinic, Inc.","2701 Davis St, Meridian, MS 39301, USA",(601) 693-0118,32.3622759,-88.7049195
"DELTA HEALTH CENTER, INC.",MOUND BAYOU,MS,"DELTA HEALTH CENTER, INC., MOUND BAYOU, MS","Delta Health Center, Inc.","702 Martin Luther King Road, Mound Bayou, MS 38762, USA",(662) 741-8800,33.8801619,-90.7375185
"DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP, INC.",AVA,MO,"DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP, INC., AVA, MO",Douglas County Public Health Services,"504 NW 10th Ave, Ava, MO 65608, USA",(417) 683-4831,36.959448,-92.6686124
"COMPASS HEALTH, INC.",CLINTON,MO,"COMPASS HEALTH, INC., CLINTON, MO",Compass Health Network,"1800 Community Dr, Clinton, MO 64735, USA",(844) 853-8937,38.3926079,-93.768581
"BIG SPRINGS MEDICAL ASSOCIATION, INC",ELLINGTON,MO,"BIG SPRINGS MEDICAL ASSOCIATION, INC, ELLINGTON, MO",Missouri Highlands Health Care,"110 South 2nd Street, Ellington, MO 63638, USA",(573) 663-2313,37.2414392,-90.9684141
COMMUNITY TREATMENT INCORPORATED,FESTUS,MO,"COMMUNITY TREATMENT INCORPORATED, FESTUS, MO",COMTREA Festus,"110 N Mill St, Festus, MO 63028, USA",(636) 931-2700,38.2206807,-90.3927301
OZARKS RESOURCE GROUP,HERMITAGE,MO,"OZARKS RESOURCE GROUP, HERMITAGE, MO",Ozarks Community Health Center,"18614 Jackson St, Hermitage, MO 65668, USA",(417) 745-2121,37.9417527,-93.3156071
HOPE FAMILY CARE CENTER,KANSAS CITY,MO,"HOPE FAMILY CARE CENTER, KANSAS CITY, MO",Hope Family Care Center,"3027 Prospect Ave, Kansas City, MO 64128, USA",(816) 861-6500,39.0705951,-94.5524045
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,"KANSAS CITY CARE CLINIC, KANSAS CITY, MO",KC CARE Health Center - Midtown,"3515 Broadway Blvd, Kansas City, MO 64111, USA",(816) 753-5144,39.0633186,-94.5899393
"SAMUEL U RODGERS HEALTH CENTER, INC.",KANSAS CITY,MO,"SAMUEL U RODGERS HEALTH CENTER, INC., KANSAS CITY, MO",Samuel U. Rodgers Health Center,"825 Euclid Ave, Kansas City, MO 64124, USA",(816) 474-4920,39.1041008,-94.5575534
SWOPE HEALTH SERVICES,KANSAS CITY,MO,"SWOPE HEALTH SERVICES, KANSAS CITY, MO",Swope Health Hickman Mills,"Office Building, 8800 Blue Ridge Blvd 2nd Fl, Kansas City, MO 64138, USA",(816) 321-3201,38.962863,-94.4988903
"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",KIRKSVILLE,MO,"NORTHEAST MISSOURI HEALTH COUNCIL, INC., KIRKSVILLE, MO",Northeast Missouri Health Council,"1416 Crown Dr, Kirksville, MO 63501, USA",(660) 627-5757,40.206731,-92.573245
"PREFERRED FAMILY HEALTHCARE, INCORPORATED",KIRKSVILLE,MO,"PREFERRED FAMILY HEALTHCARE, INCORPORATED, KIRKSVILLE, MO",Preferred Family Healthcare - Kirksville,"900 E La Harpe St, Kirksville, MO 63501, USA",(660) 665-1962,40.1781541,-92.5745719
HEALTH CARE COALITION OF LAFAYETTE COUNTY,LEXINGTON,MO,"HEALTH CARE COALITION OF LAFAYETTE COUNTY, LEXINGTON, MO",Health Care Collaborative of Rural Missouri,"825 S Missouri 13 Business, Lexington, MO 64067, USA",(660) 259-2440,39.1678535,-93.8789651
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,LINN,MO,"COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI, LINN, MO",Community Health Center,"1016 E Main St, Linn, MO 65051, USA",(573) 897-4946,38.4794464,-91.8423385
EAST CENTRAL MISSOURI BEHAVIORAL HEALTH SERVICES INC,MEXICO,MO,"EAST CENTRAL MISSOURI BEHAVIORAL HEALTH SERVICES INC, MEXICO, MO",East Central Mo Behavioral,"508 S Muldrow St, Mexico, MO 65265, USA",(573) 581-1196,39.1685236,-91.8882332
SOUTHEAST MISSOURI HEALTH NETWORK,NEW MADRID,MO,"SOUTHEAST MISSOURI HEALTH NETWORK, NEW MADRID, MO",SEMO Health Network- New Madrid Medical,"421 Semo Dr, New Madrid, MO 63869, USA",(573) 748-2592,36.5866866,-89.5251024
GREAT MINES HEALTH CENTER,POTOSI,MO,"GREAT MINES HEALTH CENTER, POTOSI, MO",Great Mines Health Center,"1 Southtowne Dr, Potosi, MO 63664, USA",(573) 438-9355,37.920347,-90.774933
RICHLAND MEDICAL CENTER INC,RICHLAND,MO,"RICHLAND MEDICAL CENTER INC, RICHLAND, MO",COMC - Central Ozarks Medical Center - Dental,"304 W Washington Ave, Richland, MO 65556, USA",(573) 765-2510,37.8596886,-92.4052474
SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER,ROLLA,MO,"SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER, ROLLA, MO",Your Community Health Center,"1081 E 18th St, Rolla, MO 65401, USA",(573) 426-4455,37.95974,-91.755745
"NORTHWEST HEALTH SERVICES, INC.",SAINT JOSEPH,MO,"NORTHWEST HEALTH SERVICES, INC., SAINT JOSEPH, MO",Family Medicine Associates (Northwest Health Services),"2303 Village Dr, St Joseph, MO 64506, USA",(816) 232-6818,39.7881706,-94.7988492
AFFINIA HEALTHCARE,SAINT LOUIS,MO,"AFFINIA HEALTHCARE, SAINT LOUIS, MO",Affinia Healthcare,"1717 Biddle St, St. Louis, MO 63106, USA",(314) 898-1700,38.639357,-90.201809
BETTY JEAN KERR - PEOPLE'S HEALTH CENTERS,SAINT LOUIS,MO,"BETTY JEAN KERR - PEOPLE'S HEALTH CENTERS, SAINT LOUIS, MO",Betty Jean Kerr People's Health centers,"5701 Delmar Blvd, St. Louis, MO 63112, USA",(314) 367-7848,38.6544546,-90.2855889
CARESTL HEALTH,SAINT LOUIS,MO,"CARESTL HEALTH, SAINT LOUIS, MO",CareSTL Health,"5471 Dr Martin Luther King Dr, St. Louis, MO 63112, USA",(314) 633-6363,38.668719,-90.2724375
"REGIONAL HEALTH CARE CLINIC, INC.",SEDALIA,MO,"REGIONAL HEALTH CARE CLINIC, INC., SEDALIA, MO",Bothwell Regional Health Center,"601 E 14th St, Sedalia, MO 65301, USA",(660) 826-8833,38.6994909,-93.2212078
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",SPRINGFIELD,MO,"ADVOCATES FOR A HEALTHY COMMUNITY, INC., SPRINGFIELD, MO",Advocates For A Healthy Community,"618 N Benton Ave, Springfield, MO 65806, USA",(417) 831-0150,37.2144441,-93.2872051
MONTANA MIGRANT & SEASONAL FARM WORKERS COUNCIL INC,BILLINGS,MT,"MONTANA MIGRANT & SEASONAL FARM WORKERS COUNCIL INC, BILLINGS, MT",Montana Migrant Council,"3318 3rd Ave N, Billings, MT 59101, USA",(406) 248-3149,45.7803189,-108.5142111
"MISSOULA, COUNTY OF",MISSOULA,MT,"MISSOULA, COUNTY OF, MISSOULA, MT",,,,,
"HEARTLAND HEALTH CENTER, INC.",GRAND ISLAND,NE,"HEARTLAND HEALTH CENTER, INC., GRAND ISLAND, NE",Heartland Health Center Medical and Behavioral,"3307 W Capital Ave, Grand Island, NE 68803, USA",(308) 382-4297,40.9456572,-98.3791898
BLUESTEM HEALTH,LINCOLN,NE,"BLUESTEM HEALTH, LINCOLN, NE",Bluestem Health - Main Clinic,"1021 N 27th St, Lincoln, NE 68503, USA",(402) 476-1455,40.823893,-96.682773
"CHARLES DREW HEALTH CENTER, INC.",OMAHA,NE,"CHARLES DREW HEALTH CENTER, INC., OMAHA, NE","Charles Drew Health Center, Inc.","2915 Grant St, Omaha, NE 68111, USA",(402) 451-3553,41.2794743,-95.9558177
"ONEWORLD COMMUNITY HEALTH CENTERS, INC.",OMAHA,NE,"ONEWORLD COMMUNITY HEALTH CENTERS, INC., OMAHA, NE",OneWorld Bellevue,"2207 Georgia Ave, Bellevue, NE 68005, USA",(402) 502-8855,41.1677392,-95.9242594
"NEVADA HEALTH CENTERS, INC.",CARSON CITY,NV,"NEVADA HEALTH CENTERS, INC., CARSON CITY, NV","Nevada Health Centers, Inc","3325 Research Way, Carson City, NV 89706, USA",(800) 787-2568,39.1891851,-119.7499037
FIRSTMED HEALTH AND WELLNESS CENTER,LAS VEGAS,NV,"FIRSTMED HEALTH AND WELLNESS CENTER, LAS VEGAS, NV",FirstMed Health and Wellness Center,"400 Shadow Lane, Las Vegas, Suites #104, Las Vegas, NV 89106, USA",(702) 731-0909,36.1667243,-115.1657384
SILVER STATE HEALTH SERVICES,LAS VEGAS,NV,"SILVER STATE HEALTH SERVICES, LAS VEGAS, NV",Silver State Health Services,"2215 Suite C, Renaissance Dr, Las Vegas, NV 89119, USA",(702) 471-0420,36.1013747,-115.1220578
SOUTHERN NEVADA HEALTH DISTRICT,LAS VEGAS,NV,"SOUTHERN NEVADA HEALTH DISTRICT, LAS VEGAS, NV",Southern Nevada Health District,"280 S Decatur Blvd, Las Vegas, NV 89107, USA",(702) 759-1000,36.1708132,-115.2093253
HOPE CHRISTIAN HEALTH CENTER CORP,N LAS VEGAS,NV,"HOPE CHRISTIAN HEALTH CENTER CORP, N LAS VEGAS, NV",Hope Christian Health Center,"4357 Corporate Center Dr #450, North Las Vegas, NV 89030, USA",(702) 644-4673,36.2395754,-115.0991269
COMMUNITY HEALTH ALLIANCE,RENO,NV,"COMMUNITY HEALTH ALLIANCE, RENO, NV",Community Health Alliance,"2750 Elementary Dr, Reno, NV 89512, USA",(775) 329-6300,39.5417675,-119.7789546
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,LITTLETON,NH,"AMMONOOSUC COMMUNITY HEALTH SERVICES INC, LITTLETON, NH",Ammonoosuc Community Health: Brodzinski Carey J,"25 Mt Eustis Rd, Littleton, NH 03561, USA",(603) 444-2464,44.3001445,-71.7693245
AMOSKEAG HEALTH,MANCHESTER,NH,"AMOSKEAG HEALTH, MANCHESTER, NH",Amoskeag Health,"145 Hollis St, Manchester, NH 03101, USA",(603) 626-9500,42.9964199,-71.4660688
"MANCHESTER, CITY OF",MANCHESTER,NH,"MANCHESTER, CITY OF, MANCHESTER, NH",Manchester Street,"Manchester St, Manchester, NH, USA",,42.9902017,-71.452993
"HARBOR HOMES, INC.",NASHUA,NH,"HARBOR HOMES, INC., NASHUA, NH",Harbor Homes Inc,"77 Northeastern Blvd, Nashua, NH 03062, USA",(603) 882-3616,42.7369728,-71.4857254
"LAMPREY HEALTH CARE, INC.",NEWMARKET,NH,"LAMPREY HEALTH CARE, INC., NEWMARKET, NH",Lamprey Health Care,"207 S Main St, Newmarket, NH 03857, USA",(603) 659-3106,43.0746688,-70.9439315
GREATER SEACOAST COMMUNITY HEALTH,SOMERSWORTH,NH,"GREATER SEACOAST COMMUNITY HEALTH, SOMERSWORTH, NH",Goodwin Community Health,"311 NH-108, Somersworth, NH 03878, USA",(603) 749-2346,43.2582399,-70.9013996
"COMMUNITY HEALTH CARE, INC.",BRIDGETON,NJ,"COMMUNITY HEALTH CARE, INC., BRIDGETON, NJ",Community Health Care Inc,"105 Manheim Ave, Bridgeton, NJ 08302, USA",(856) 451-4700,39.435388,-75.2183482
CAMCARE HEALTH CORPORATION,CAMDEN,NJ,"CAMCARE HEALTH CORPORATION, CAMDEN, NJ",CAMcare Health Corporation,"817 Federal St, Camden, NJ 08103, USA",(856) 583-2400,39.9443455,-75.1156124
"OSBORN FAMILY HEALTH CENTER, INC., THE",CAMDEN,NJ,"OSBORN FAMILY HEALTH CENTER, INC., THE, CAMDEN, NJ",Osborn Family Health Center,"1601 Haddon Ave, Camden, NJ 08103, USA",(856) 757-3700,39.9266963,-75.0956665
PROJECT HOPE,CAMDEN,NJ,"PROJECT HOPE, CAMDEN, NJ","Project H.O.P.E., Inc.","519-525 West St, Camden, NJ 08103, USA",(856) 968-2320,39.9388788,-75.1224248
ZUFALL HEALTH CENTER INC.,DOVER,NJ,"ZUFALL HEALTH CENTER INC., DOVER, NJ",Zufall Health Center - Medical (ZHC),"18 W Blackwell St, Dover, NJ 07801, USA",(973) 328-3344,40.8838093,-74.5595142
ATLANTICARE HEALTH SERVICES INC,EGG HBR TWP,NJ,"ATLANTICARE HEALTH SERVICES INC, EGG HBR TWP, NJ",AtlantiCare Urgent Care Egg Harbor Township,"2500 English Creek Avenue, Bldg. 900 Suite 908, Egg Harbor Township, NJ 08234, USA",(609) 407-2380,39.4371942,-74.6046518
"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC.",HAMMONTON,NJ,"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC., HAMMONTON, NJ",Southern Jersey Family Medical Centers,"860 S White Horse Pike, Hammonton, NJ 08037, USA",(800) 486-0131,39.620125,-74.7750861
HORIZON HEALTH CENTER INC,JERSEY CITY,NJ,"HORIZON HEALTH CENTER INC, JERSEY CITY, NJ",Horizon Health Center,"412 Summit Ave, Jersey City, NJ 07306, USA",(201) 710-2200,40.7294588,-74.0615424
