Health Center Name,City,State,Status,address,phone,lon,lat
"GREATER LAWRENCE FAMILY HEALTH CENTER, INC.",LAWRENCE,MA,Participating,,,,
"LOWELL COMMUNITY HEALTH CENTER, INC.",LOWELL,MA,Invited,,,,
"LYNN COMMUNITY HEALTH, INC.",LYNN,MA,Participating,,,,
"COMMUNITY HEALTH CENTER OF CAPE COD, INC.",MASHPEE,MA,Invited,,,,
"HARBOR HEALTH SERVICES, INC.",MATTAPAN,MA,Invited,,,,
"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,INC.",NEW BEDFORD,MA,Invited,,,,
"DIMOCK COMMUNITY HEALTH CENTER, INC.",ROXBURY,MA,Invited,,,,
WHITTIER STREET HEALTH CENTER,ROXBURY,MA,Participating,"1290 Tremont St, Roxbury Crossing, MA",617-427-1000,-71.09208668,42.3329659
"CARING HEALTH CENTER, INC.",SPRINGFIELD,MA,Invited,,,,
"OUTER CAPE HEALTH SERVICES, INC.",WELLFLEET,MA,Invited,,,,
"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC.",WORCESTER,MA,Participating,,,,
"FAMILY HEALTH CENTER OF WORCESTER, INC.",WORCESTER,MA,Invited,"26 Queen St, Worcester, MA",508-860-7700,-71.81357709999999,42.25928126
"PACKARD HEALTH, INC.",ANN ARBOR,MI,Invited,,,,
BALDWIN FAMILY HEALTH CARE,BALDWIN,MI,Participating,"1615 Michigan Ave, Baldwin, MI",231-745-2743,-85.85153725,43.90344799
INTERCARE COMMUNITY HEALTH NETWORK,BANGOR,MI,Participating,,,,
"GRACE HEALTH, INC.",BATTLE CREEK,MI,Participating,"181 Emmett St W, Battle Creek, MI",269-966-2600,-85.18911954,42.33015251
"GRACE HEALTH, INC.",BATTLE CREEK,MI,Participating,"115 Market Pl, Albion, MI",517-629-6540,-84.75236288,42.24467076
BAY MILLS INDIAN COMMUNITY,BRIMLEY,MI,Invited,,,,
FAMILY MEDICAL CENTER OF MICHIGAN INC,CARLETON,MI,Participating,,,,
LAKELAND IMMEDIATE CARE CENTER,CASSOPOLIS,MI,Invited,,,,
"COVERED BRIDGE HEALTHCARE OF ST. JOSEPH COUNTY, INC.",CENTREVILLE,MI,Invited,"658 E Main St, Centreville, MI",269-467-3228,-85.51392206,41.92309659
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC.",DETROIT,MI,Participating,,,,
"COVENANT COMMUNITY CARE, INC.",DETROIT,MI,Participating,"20901 Moross Rd, Detroit, MI",313-554-0485,-82.92716004,42.424405
"COVENANT COMMUNITY CARE, INC.",DETROIT,MI,Participating,"27776 Woodward Ave, Royal Oak, MI",248-556-4900,-83.16319871,42.49430622
"DETROIT CENTRAL CITY COMMUNITY MENTAL HEALTH, INCORPORATED",DETROIT,MI,Invited,,,,
DETROIT COMMUNITY HEALTH CONNECTION,DETROIT,MI,Invited,,,,
DETROIT HEALTH CARE FOR THE HOMELESS,DETROIT,MI,Invited,,,,
"WELLNESS PLAN, THE",DETROIT,MI,Invited,,,,
GENESEE HEALTH SYSTEM,FLINT,MI,Invited,,,,
"HAMILTON COMMUNITY HEALTH NETWORK, INC.",FLINT,MI,Invited,,,,
"CHERRY STREET SERVICES, INC.",GRAND RAPIDS,MI,Participating,,,,
UPPER GREAT LAKES FAMILY HEALTH CENTER,GWINN,MI,Invited,,,,
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",HILLMAN,MI,Participating,,,,
WESTERN WAYNE FAMILY HEALTH CENTERS,INKSTER,MI,Invited,,,,
FAMILY HEALTH CENTER INC.,KALAMAZOO,MI,Invited,,,,
"INGHAM, COUNTY OF",LANSING,MI,Invited,,,,
"ALCONA CITIZENS FOR HEALTH, INC.",LINCOLN,MI,Participating,,,,
HACKLEY COMMUNITY CARE CENTER INC,MUSKEGON,MI,Participating,,,,
OAKLAND INTEGRATED HEALTHCARE NETWORK,PONTIAC,MI,Invited,,,,
GREAT LAKES BAY HEALTH CENTERS,SAGINAW,MI,Invited,,,,
CEDAR-RIVERSIDE PEOPLES CENTER,MINNEAPOLIS,MN,Invited,,,,
HENNEPIN COUNTY COMMUNITY HEALTH DEPARTMENT,MINNEAPOLIS,MN,Invited,,,,
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE",MINNEAPOLIS,MN,Invited,,,,
INDIAN HEALTH BOARD OF MINNEAPOLIS INC,MINNEAPOLIS,MN,Invited,,,,
NATIVE AMERICAN COMMUNITY CLINIC,MINNEAPOLIS,MN,Invited,"1213 E Franklin Ave, Minneapolis, MN",612-872-8086,-93.25672800000001,44.96207501
NEIGHBORHOOD HEALTHSOURCE,MINNEAPOLIS,MN,Invited,,,,
REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,Invited,,,,
"SOUTHSIDE COMMUNITY HEALTH SERVICES, INC.",MINNEAPOLIS,MN,Invited,,,,
COMMUNITY HEALTH SERVICE INC.,MOORHEAD,MN,Invited,,,,
"OPEN CITIES HEALTH CENTER, INC.",SAINT PAUL,MN,Invited,"409 Dunlap St N, Saint Paul, MN",651-290-9200,-93.14921434,44.95333922
"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",SAINT PAUL,MN,Participating,,,,
"NORTH MISSISSIPPI PRIMARY HEALTH CARE, INC.",ASHLAND,MS,Invited,,,,
"COASTAL FAMILY HEALTH CENTER, INC.",BILOXI,MS,Invited,,,,
"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC.",CANTON,MS,Invited,,,,
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",CLARKSDALE,MS,Invited,,,,
JEFFERSON COMPREHENSIVE HEALTH CENTER INC,FAYETTE,MS,Invited,,,,
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",HATTIESBURG,MS,Invited,,,,
"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC.",JACKSON,MS,Participating,,,,
"CENTRAL MISSISSIPPI HEALTH SERVICES, INC.",JACKSON,MS,Invited,"1134 Winter St, Jackson, MS",601-948-5572,-90.20514989,32.290999600000006
"FAMILY HEALTH CENTER, INC.",LAUREL,MS,Invited,"117 S 11th Ave, Laurel, MS",601-425-3033,-89.13993419,31.6893344
"FAMILY HEALTH CENTER, INC.",LAUREL,MS,Invited,"713 Lomax Ave, Waynesboro, MS",601-425-3033 x601,-88.64076145,31.67758942
"FAMILY HEALTH CENTER, INC.",LAUREL,MS,Invited,"117 W Paterson St, Kalamazoo, MS",269-349-4257,-85.58455502,42.30270299
"DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC.",LEXINGTON,MS,Invited,,,,
"AMITE COUNTY MEDICAL SERVICES, INC.",LIBERTY,MS,Invited,"102 W Freedom Dr, Liberty, MS",601-657-8091,-90.79469764,31.16301148
"GREATER MERIDIAN HEALTH CLINIC, INC",MERIDIAN,MS,Invited,,,,
"DELTA HEALTH CENTER, INC.",MOUND BAYOU,MS,Invited,"702 Ml King Dr, Mound Bayou, MS",662-741-2151,-90.72615005,33.87963248
"DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP, INC.",AVA,MO,Invited,,,,
"COMPASS HEALTH, INC.",CLINTON,MO,Invited,"901 NE Independence Ave, Lees Summit, MO",816-966-0900,-94.36397096,38.92887402
"COMPASS HEALTH, INC.",CLINTON,MO,Invited,"1000 W Nifong Blvd Bldg 6, Columbia, MO",573-442-1690,-92.35511191,38.90871257
"COMPASS HEALTH, INC.",CLINTON,MO,Invited,"91 Troy Sq, Troy, MO",844-853-8937,-90.97456761,38.98857685
"COMPASS HEALTH, INC.",CLINTON,MO,Invited,"3785 New Town Blvd, Saint Charles, MO",844-853-8937,-90.51910396,38.826226
"BIG SPRINGS MEDICAL ASSOCIATION, INC",ELLINGTON,MO,Invited,,,,
COMMUNITY TREATMENT INCORPORATED,FESTUS,MO,Invited,,,,
OZARKS RESOURCE GROUP,HERMITAGE,MO,Invited,,,,
HOPE FAMILY CARE CENTER,KANSAS CITY,MO,Invited,,,,
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,Invited,"2340 E Meyer Blvd Ste 200, Kansas City, MO",816-753-5144,-94.55941521,39.00721175
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,Invited,"3515 Broadway Blvd, Kansas City, MO",816-753-5144,-94.59034915,39.06337486
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,Invited,"1106 E 30th St Ste B, Kansas City, MO",816-753-5144,-94.57109275,39.07237937
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,Invited,"4601 Independence Ave, Kansas City, MO",816-241-6334,-94.52789915,39.10545336
"SAMUEL U RODGERS HEALTH CENTER, INC.",KANSAS CITY,MO,Invited,,,,
SWOPE HEALTH SERVICES,KANSAS CITY,MO,Invited,,,,
"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",KIRKSVILLE,MO,Invited,,,,
"PREFERRED FAMILY HEALTHCARE, INCORPORATED",KIRKSVILLE,MO,Invited,,,,
HEALTH CARE COALITION OF LAFAYETTE COUNTY,LEXINGTON,MO,Invited,,,,
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,LINN,MO,Invited,,,,
EAST CENTRAL MISSOURI BEHAVIORAL HEALTH SERVICES INC,MEXICO,MO,Invited,,,,
SOUTHEAST MISSOURI HEALTH NETWORK,NEW MADRID,MO,Invited,,,,
GREAT MINES HEALTH CENTER,POTOSI,MO,Invited,"1 Southtowne Dr, Potosi, MO",573-438-9355,-90.77554539,37.91818859
GREAT MINES HEALTH CENTER,POTOSI,MO,Invited,"1 Southtowne Dr, Potosi, MO",573-438-9355,-90.77554539,37.91818859
GREAT MINES HEALTH CENTER,POTOSI,MO,Invited,"508 W Pine St, Farmington, MO",636-438-9355,-90.42655308,37.79021267
RICHLAND MEDICAL CENTER INC,RICHLAND,MO,Invited,,,,
SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER,ROLLA,MO,Invited,,,,
"NORTHWEST HEALTH SERVICES, INC.",SAINT JOSEPH,MO,Invited,,,,
AFFINIA HEALTHCARE,SAINT LOUIS,MO,Invited,,,,
BETTY JEAN KERR - PEOPLE'S HEALTH CENTERS,SAINT LOUIS,MO,Invited,,,,
CARESTL HEALTH,SAINT LOUIS,MO,Invited,"5471 Dr Martin Luther King Dr, Saint Louis, MO",314-367-5820,-90.27242103,38.66834364
CARESTL HEALTH,SAINT LOUIS,MO,Invited,"2425 Whittier St, Saint Louis, MO",314-371-3100,-90.23635476,38.65715461
CARESTL HEALTH,SAINT LOUIS,MO,Invited,"5541 Riverview Blvd, Saint Louis, MO",314-389-4566,-90.25093444,38.70540443
CARESTL HEALTH,SAINT LOUIS,MO,Invited,"4500 Pope Ave, Saint Louis, MO",314-385-3990,-90.23025956,38.67799754
"REGIONAL HEALTH CARE CLINIC, INC.",SEDALIA,MO,Invited,,,,
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",SPRINGFIELD,MO,Participating,,,,
MONTANA MIGRANT & SEASONAL FARM WORKERS COUNCIL INC,BILLINGS,MT,Invited,,,,
"MISSOULA, COUNTY OF",MISSOULA,MT,Participating,,,,
"HEARTLAND HEALTH CENTER, INC.",GRAND ISLAND,NE,Invited,"3307 W Capital Ave, Grand Island, NE",308-382-4297,-98.37915949,40.94599247
BLUESTEM HEALTH,LINCOLN,NE,Participating,,,,
"CHARLES DREW HEALTH CENTER, INC.",OMAHA,NE,Invited,,,,
"ONEWORLD COMMUNITY HEALTH CENTERS, INC.",OMAHA,NE,Participating,,,,
"NEVADA HEALTH CENTERS, INC.",CARSON CITY,NV,Participating,,,,
FIRSTMED HEALTH AND WELLNESS CENTER,LAS VEGAS,NV,Invited,"3343 S Eastern Ave, Las Vegas, NV",702-731-0909,-115.1186074,36.12901598
SILVER STATE HEALTH SERVICES,LAS VEGAS,NV,Invited,"1909 S Jones Blvd, Las Vegas, NV",702-937-3418,-115.2255992,36.14973001
SOUTHERN NEVADA HEALTH DISTRICT,LAS VEGAS,NV,Invited,,,,
HOPE CHRISTIAN HEALTH CENTER CORP,N LAS VEGAS,NV,Invited,,,,
COMMUNITY HEALTH ALLIANCE,RENO,NV,Invited,,,,
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,LITTLETON,NH,Participating,,,,
AMOSKEAG HEALTH,MANCHESTER,NH,Invited,,,,
"MANCHESTER, CITY OF",MANCHESTER,NH,Invited,,,,
"HARBOR HOMES, INC.",NASHUA,NH,Invited,,,,
"LAMPREY HEALTH CARE, INC.",NEWMARKET,NH,Invited,,,,
GREATER SEACOAST COMMUNITY HEALTH,SOMERSWORTH,NH,Invited,,,,
"COMMUNITY HEALTH CARE, INC.",BRIDGETON,NJ,Participating,,,,
CAMCARE HEALTH CORPORATION,CAMDEN,NJ,Invited,,,,
"OSBORN FAMILY HEALTH CENTER, INC., THE",CAMDEN,NJ,Invited,,,,
PROJECT HOPE,CAMDEN,NJ,Invited,"45 Magnolia St, Dorchester, NJ",617-442-1880,-71.07068802,42.31736101
ZUFALL HEALTH CENTER INC.,DOVER,NJ,Participating,,,,
ATLANTICARE HEALTH SERVICES INC,EGG HBR TWP,NJ,Invited,,,,
"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC.",HAMMONTON,NJ,Invited,,,,
HORIZON HEALTH CENTER INC,JERSEY CITY,NJ,Invited,,,,
METROPOLITAN FAMILY HEALTH NETWORK INC.,JERSEY CITY,NJ,Invited,,,,
LAKEWOOD RESOURCE AND REFERRAL CENTER INC.,LAKEWOOD,NJ,Invited,,,,
OCEAN HEALTH INITIATIVES INC.,LAKEWOOD,NJ,Invited,,,,
MONMOUTH FAMILY HEALTH CENTER,LONG BRANCH,NJ,Invited,"270 Broadway, Long Branch, NJ",732-923-7145,-73.99015368,40.30412062
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NEW BRUNSWICK,NJ,Invited,,,,
"CITY OF NEWARK, NEW JERSEY",NEWARK,NJ,Invited,,,,
"NEWARK COMMUNITY HEALTH CENTERS, INC.",NEWARK,NJ,Invited,"101 Ludlow St, Newark, NJ",973-565-0355,-74.20625431,40.6894502
"NEWARK COMMUNITY HEALTH CENTERS, INC.",NEWARK,NJ,Invited,"741 Broadway, Newark, NJ",973-483-1300,-74.15891559,40.77536555
"NEWARK COMMUNITY HEALTH CENTERS, INC.",NEWARK,NJ,Invited,"751 Broadway, Newark, NJ",973-483-1300,-74.15870939,40.77561168
"SAINT JAMES HEALTH, INC.",NEWARK,NJ,Invited,"228 Lafayette St, Newark, NJ",973-789-8111,-74.16269264,40.72906618
"SAINT JAMES HEALTH, INC.",NEWARK,NJ,Invited,"228 Lafayette St, Newark, NJ",973-789-8111,-74.16269264,40.72906618
PATERSON COMMUNITY HEALTH CENTER INC.,PATERSON,NJ,Invited,,,,
"JEWISH RENAISSANCE FOUNDATION INC., THE",PERTH AMBOY,NJ,Invited,,,,
JEWISH RENAISSANCE MEDICAL CENTER,PERTH AMBOY,NJ,Invited,"275 Hobart St, Perth Amboy, NJ",732-376-9333,-74.26946848,40.50857682
NEIGHBORHOOD HEALTH SERVICES CORPORATION,PLAINFIELD,NJ,Invited,,,,
"HENRY J. AUSTIN HEALTH CENTER, INC.",TRENTON,NJ,Participating,,,,
NORTH HUDSON COMMUNITY ACTION CORPORATION,UNION CITY,NJ,Participating,,,,
"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",ALBUQUERQUE,NM,Invited,,,,
"FIRST CHOICE COMMUNITY HEALTHCARE, INC.",ALBUQUERQUE,NM,Invited,,,,
FIRST NATIONS COMMUNITY HEALTH SOURCE INC,ALBUQUERQUE,NM,Invited,,,,
"LAS CLINICAS DEL NORTE, INCORPORATED",EL RITO,NM,Invited,,,,
EL CENTRO FAMILY HEALTH,ESPANOLA,NM,Invited,,,,
"BEN ARCHER HEALTH CENTER, INC.",HATCH,NM,Participating,,,,
"JEMEZ, PUEBLO OF",JEMEZ PUEBLO,NM,Invited,,,,
"CLINICA DE FAMILIA INC, LA",LAS CRUCES,NM,Invited,,,,
"ST. LUKE'S HEALTH CARE CLINIC, INC.",LAS CRUCES,NM,Invited,,,,
HIDALGO MEDICAL SERVICES,LORDSBURG,NM,Invited,"530 De Moss St, Lordsburg, NM",505-534-9910,-108.706627,32.33878311
"MORA VALLEY COMMUNITY HEALTH SERVICES, INCORPORATED",MORA,NM,Invited,,,,
LA CASA DE BUENA SALUD INC,PORTALES,NM,Invited,,,,
LA FAMILIA MEDICAL CENTER,SANTA FE,NM,Invited,"1035 Alto St, Santa Fe, NM",505-982-4425,-105.9602634,35.68602402
PRESBYTERIAN MEDICAL SERVICES,SANTA FE,NM,Invited,,,,
SOUTHWEST C. A. R. E. CENTER,SANTA FE,NM,Invited,,,,
LA CLINICA DEL PUEBLO,TIRA AMARILLA,NM,Invited,"2831 15th St NW, Washington, NM",202-462-4788,-77.03516683,38.92591001
"WHITNEY M. YOUNG, JR., HEALTH CENTER, INC.",ALBANY,NY,Participating,,,,
THE ADDABBO JOSEPH P FAMILY HEALTH CENTER INC,ARVERNE,NY,Participating,,,,
EAST HILL FAMILY MEDICAL INC,AUBURN,NY,Invited,,,,
"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",BROCKPORT,NY,Invited,"300 West Ave, Brockport, NY",585-637-5319 x214,-77.95057904,43.22005749
"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",BROCKPORT,NY,Invited,"81 S Main St, Warsaw, NY",585-637-3905,-78.13261931,42.73868492
"BRONX COMMUNITY HEALTH NETWORK, INC",BRONX,NY,Participating,,,,
BRONX LEBANON INTEGRATED SERVICE SYSTEM INC,BRONX,NY,Participating,,,,
LA CASA DE SALUD INC.,BRONX,NY,Invited,,,,
MONTEFIORE MEDICAL CENTER,BRONX,NY,Invited,,,,
"MORRIS HEIGHTS HEALTH CENTER, INC.",BRONX,NY,Invited,,,,
"UNION COMMUNITY HEALTH CENTER, INC.",BRONX,NY,Invited,,,,
"URBAN HEALTH PLAN, INC.",BRONX,NY,Participating,,,,
"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC.",BRONX,NY,Invited,,,,
"BEDFORD STUYVESANT FAMILY HEALTH CENTER, INC., THE",BROOKLYN,NY,Invited,,,,
BROOKLYN PLAZA MEDICAL CENTER,BROOKLYN,NY,Invited,,,,
BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION,BROOKLYN,NY,Invited,,,,
COMMUNITY HEALTH INITIATIVES INC.,BROOKLYN,NY,Invited,,,,
EZRA MEDICAL CENTER,BROOKLYN,NY,Invited,"1312 38th St, Brooklyn, NY",718-686-7600,-73.98523962,40.64085566
"HEALTHCARE CHOICES NY, INC.",BROOKLYN,NY,Invited,,,,
"HOUSING WORKS HEALTH SERVICES III, INC.",BROOKLYN,NY,Invited,,,,
"ODA PRIMARY HEALTH CARE CENTER, INC.",BROOKLYN,NY,Invited,,,,
"SUNSET PARK HEALTH COUNCIL, INC.",BROOKLYN,NY,Participating,,,,
"COMMUNITY HEALTH CENTER OF BUFFALO, INC.",BUFFALO,NY,Invited,,,,
JERICHO ROAD MINISTRIES INC.,BUFFALO,NY,Participating,,,,
"NEIGHBORHOOD HEALTH CENTER OF WNY, INC.",BUFFALO,NY,Participating,,,,
CORNERSTONE FAMILY HEALTHCARE,CORNWALL,NY,Participating,,,,
"DAMIAN FAMILY CARE CENTERS, INC.",JAMAICA,NY,Invited,,,,
FLOATING HOSPITAL INCORPORATED (THE),LONG ISLAND CITY,NY,Participating,,,,
"COMMUNITY MEDICAL AND DENTAL CARE, INC",MONSEY,NY,Invited,,,,
"MOUNT VERNON NEIGHBORHOOD HEALTH CENTER, INC.",MOUNT VERNON,NY,Invited,,,,
"REFUAH HEALTH CENTER, INC.",NEW SQUARE,NY,Invited,,,,
BETANCES HEALTH CENTER,NEW YORK,NY,Invited,"280 Henry St, New York, NY",212-227-8408 x101,-73.98368369,40.71392565
CARE FOR THE HOMELESS,NEW YORK,NY,Invited,,,,
CARE FOR THE HOMELESS,NEW YORK,NY,Invited,,,,
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating,"13743 45th Ave, Flushing, NY",929-362-3018,-73.82197941,40.751591
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating,"13626 37th Ave, Flushing, NY",718-886-1212,-73.83012881,40.76176008
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating,"125 Walker St, New York, NY",212-226-8866,-73.99984584,40.71743955
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating,"268 Canal St, New York, NY",212-379-6988,-74.001283,40.718759999999996
"COMMUNITY HEALTH PROJECT, INC.",NEW YORK,NY,Invited,,,,
"COMMUNITY HEALTHCARE NETWORK, INC.",NEW YORK,NY,Invited,,,,
"EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.",NEW YORK,NY,Invited,,,,
"HERITAGE HEALTH AND HOUSING, INC.",NEW YORK,NY,Invited,"1727 Amsterdam Ave, New York, NY",212-862-0054,-73.946908,40.82539302
"INSTITUTE FOR FAMILY HEALTH, THE",NEW YORK,NY,Participating,,,,
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NEW YORK,NY,Invited,,,,
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NEW YORK,NY,Invited,,,,
"PROJECT RENEWAL, INC.",NEW YORK,NY,Invited,,,,
"SETTLEMENT HEALTH AND MEDICAL SERVICES, INC.",NEW YORK,NY,Invited,,,,
UNDER 21,NEW YORK,NY,Invited,,,,
"UPPER ROOM AIDS MINISTRY, INC.: ADULT DAY HEALTH CARE CENTER",NEW YORK,NY,Invited,,,,
"WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating,,,,
"OPEN DOOR FAMILY MEDICAL CENTER, INC.",OSSINING,NY,Participating,"165 Main St, Ossining, NY",914-941-1263,-73.86248038,41.16137196
"HUDSON RIVER HEALTHCARE, INC.",PEEKSKILL,NY,Participating,,,,
FINGER LAKES MIGRANT HEALTH CARE,PENN YAN,NY,Participating,,,,
HUDSON HEADWATERS HEALTH NETWORK,QUEENSBURY,NY,Invited,,,,
ANTHONY L. JORDAN HEALTH CORPORATION,ROCHESTER,NY,Invited,,,,
"SCHENECTADY FAMILY HEALTH SERVICES, INC",SCHENECTADY,NY,Invited,,,,
BEACON CHRISTIAN COMMUNITY HEALTH CENTER,STATEN ISLAND,NY,Invited,"2079 Forest Ave, Staten Island, NY",718-815-6560 x200,-74.15860688,40.62634172
"COMMUNITY HEALTH CENTER OF RICHMOND, INC.",STATEN ISLAND,NY,Invited,,,,
"SYRACUSE COMMUNITY HEALTH CENTER, INC.",SYRACUSE,NY,Invited,"819 S Salina St, Syracuse, NY",888-867-2025,-76.15038227,43.03978488
"NORTH COUNTRY FAMILY HEALTH CENTER, INC.",WATERTOWN,NY,Invited,,,,
BLACK RIVER HEALTH SERVICES INC,BURGAW,NC,Invited,,,,
"PIEDMONT HEALTH SERVICES, INC.",CARRBORO,NC,Participating,,,,
"C W WILLIAMS COMMUNITY HEALTH CENTER INC, THE",CHARLOTTE,NC,Invited,,,,
"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,Invited,,,,
WEST CALDWELL HEALTH COUNCIL INC,COLLETTSVILLE,NC,Invited,,,,
"CABARRUS COMMUNITY HEALTH CENTERS, INC.",CONCORD,NC,Invited,,,,
"LINCOLN COMMUNITY HEALTH CENTER, INCORPORATED",DURHAM,NC,Invited,,,,
GASTON FAMILY HEALTH SERVICES INC,GASTONIA,NC,Invited,,,,
"TRIAD ADULT AND PEDIATRIC MEDICINE, INC.",GREENSBORO,NC,Participating,,,,
"BLUE RIDGE COMMUNITY HEALTH SERVICES, INC.",HENDERSONVLLE,NC,Invited,,,,
"KINSTON COMMUNITY HEALTH CENTER, INCORPORATED",KINSTON,NC,Invited,,,,
FIRST CHOICE COMMUNITY HEALTH CENTERS,MAMERS,NC,Invited,,,,
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC",NEWTON GROVE,NC,Invited,,,,
ROBESON HEALTH CARE CORPORATION,PEMBROKE,NC,Invited,,,,
"ADVANCE COMMUNITY HEALTH, INC.",RALEIGH,NC,Invited,,,,
"HEALTH & HUMAN SERVICES, NORTH CAROLINA DEPARTMENT OF",RALEIGH,NC,Participating,,,,
"RURAL HEALTH GROUP, INC.",ROANOKE RAPID,NC,Participating,,,,
"OPPORTUNITIES INDUSTRIALIZATION CENTER, INCORPORATED",ROCKY MOUNT,NC,Invited,,,,
PERSON FAMILY MEDICAL CENTER,ROXBORO,NC,Invited,,,,
"GREENE COUNTY HEALTH CARE, INCORPORATED",SNOW HILL,NC,Participating,,,,
"STEDMAN - WADE HEALTH SERVICES, INC., THE",WADE,NC,Invited,,,,
"ANSON REGIONAL MEDICAL SERVICES, INC.",WADESBORO,NC,Invited,"203 Salisbury St, Wadesboro, NC",704-694-6700 x223,-80.07860428,34.96794004
CAROLINA FAMILY HEALTH CENTERS INC,WILSON,NC,Invited,,,,
BERTIE COUNTY RURAL HEALTH ASSOCIATION,WINDSOR,NC,Invited,,,,
UNITED HEALTH CENTERS,WINSTON SALEM,NC,Invited,"3009A Waughtown St, Winston Salem, NC",336-293-8728,-80.17993936,36.07695497
COAL COUNTRY COMMUNITY HEALTH CENTER,BEULAH,ND,Participating,"1312 Highway 49 N, Beulah, ND",701-873-7788,-101.7824912,47.27614212
SPECTRA HEALTH,GRAND FORKS,ND,Participating,,,,
"KAGMAN COMMUNITY HEALTH CENTRE, INC",SAIPAN,MP,Invited,,,,
"ASIAN SERVICES IN ACTION, INC.",AKRON,OH,Invited,,,,
"AXESSPOINTE COMMUNITY HEALTH CENTER, INC.",AKRON,OH,Participating,,,,
"HOPEWELL HEALTH CENTERS, INC.",CHILLICOTHE,OH,Invited,,,,
"CINCINNATI HEALTH NETWORK INC, THE",CINCINNATI,OH,Participating,,,,
"CINCINNATI, CITY OF",CINCINNATI,OH,Invited,,,,
"HEALTHCARE CONNECTION, INC.,THE",CINCINNATI,OH,Invited,,,,
WINTON HILLS MED & HEALTH CTR,CINCINNATI,OH,Invited,,,,
CARE ALLIANCE,CLEVELAND,OH,Invited,,,,
"NEIGHBORHOOD HEALTH CARE, INC.",CLEVELAND,OH,Invited,,,,
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES, INC.",CLEVELAND,OH,Invited,,,,
"COLUMBUS NEIGHBORHOOD HEALTH CENTER, INC.",COLUMBUS,OH,Invited,,,,
HEART OF OHIO FAMILY HEALTH CENTERS,COLUMBUS,OH,Invited,,,,
LOWER LIGHTS CHRISTIAN HEALTH CENTER INC,COLUMBUS,OH,Invited,,,,
SOUTHEAST COMMUNITY MENTAL HEALTH CENTER INC,COLUMBUS,OH,Invited,,,,
COMMUNITY HEALTH CENTERS OF GREATER DAYTON,DAYTON,OH,Invited,,,,
"BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM, INC.",HAMILTON,OH,Invited,,,,
IRONTON AND LAWRENCE COUNTY AREA COMMUNITY ACTION ORGANIZATION,IRONTON,OH,Invited,,,,
FAIRFIELD COMMUNITY HEALTH CENTER,LANCASTER,OH,Invited,"209 NW 11th St, Fairfield, OH",618-842-4470,-88.37447501,38.38110085
FAIRFIELD COMMUNITY HEALTH CENTER,LANCASTER,OH,Invited,"1155 E Main St, Lancaster, OH",740-689-6758,-82.57939169,39.71369743
HEALTH PARTNERS OF WESTERN OHIO,LIMA,OH,Participating,,,,
3RD STREET COMMUNITY CLINIC,MANSFIELD,OH,Invited,,,,
