name,lon,lat,type,address,phone,description,volume
Regents of the University of Mn,-93.2279939,44.9753198,0,"600 McNamara Alumni Center S.E., 200 SE Oak St, Minneapolis, MN 55455, USA",(612) 625-6300,,
Southside Community Health Services,-93.2717639,44.9401838,0,"324 E 35th St, Minneapolis, MN 55408, USA",(612) 827-7181,,
"Community Health Service, Inc.",-96.7671452,46.8712238,0,"810 4th Ave S #101, Moorhead, MN 56560, USA",(218) 236-6502,,
West Side Community Health Services,-93.0780312,44.9301586,1,"153 Cesar Chavez St, St Paul, MN 55107, USA",(651) 602-7500,,
Benton Medical Center,-89.1901716,34.8292955,0,"15921 Boundary Dr, Ashland, MS 38603, USA",(662) 224-8951,,
Coastal Family Health Center Biloxi,-88.8862822,30.4029201,0,"715A Division St, Biloxi, MS 39530, USA",(228) 374-2494,,
G.A. Carmichael Family Health Center,-90.0528202,32.6117044,0,"1668 W Peace St, Canton, MS 39046, USA",(601) 859-5213,,
"Aaron E Henry Community Health Services Center, Inc.",-90.5952465,34.1899439,0,"510 MS-322, Clarksdale, MS 38614, USA",(662) 624-4292,,
Jefferson Comprehensive Health,-91.07621,31.7045249,0,"comprehensive hills center, 405 Main St, Fayette, MS 39069, USA",(601) 786-3475,,
Southeast Mississippi Rural Health Initiative Administrative Services,-89.2985393,31.2870982,0,"5488 US 49, Hattiesburg, MS 39401, USA",(601) 545-8700,,
"Central MS Civic Improvement Association, Inc.",-90.2344763,32.3569138,1,"3502 W Northside Dr, Jackson, MS 39213, USA",(601) 362-5321 ext. 223,,
Mallory Community Health Center,-90.0531748,33.1034618,0,"17280 MS-17, Lexington, MS 39095, USA",(662) 834-1857,,
"Greater Meridian Health Clinic, Inc.",-88.7049195,32.3622759,0,"2701 Davis St, Meridian, MS 39301, USA",(601) 693-0118,,
Douglas County Public Health Services,-92.6686124,36.959448,0,"504 NW 10th Ave, Ava, MO 65608, USA",(417) 683-4831,,
Missouri Highlands Health Care,-90.9684141,37.2414392,0,"110 South 2nd Street, Ellington, MO 63638, USA",(573) 663-2313,,
COMTREA Festus,-90.3927301,38.2206807,0,"110 N Mill St, Festus, MO 63028, USA",(636) 931-2700,,
Ozarks Community Health Center,-93.3156071,37.9417527,0,"18614 Jackson St, Hermitage, MO 65668, USA",(417) 745-2121,,
Hope Family Care Center,-94.5524045,39.0705951,0,"3027 Prospect Ave, Kansas City, MO 64128, USA",(816) 861-6500,,
Samuel U. Rodgers Health Center,-94.5575534,39.1041008,0,"825 Euclid Ave, Kansas City, MO 64124, USA",(816) 474-4920,,
Swope Health Hickman Mills,-94.4988903,38.962863,0,"Office Building, 8800 Blue Ridge Blvd 2nd Fl, Kansas City, MO 64138, USA",(816) 321-3201,,
Northeast Missouri Health Council,-92.573245,40.206731,0,"1416 Crown Dr, Kirksville, MO 63501, USA",(660) 627-5757,,
Preferred Family Healthcare - Kirksville,-92.5745719,40.1781541,0,"900 E La Harpe St, Kirksville, MO 63501, USA",(660) 665-1962,,
Health Care Collaborative of Rural Missouri,-93.8789651,39.1678535,0,"825 S Missouri 13 Business, Lexington, MO 64067, USA",(660) 259-2440,,
Community Health Center,-91.8423385,38.4794464,0,"1016 E Main St, Linn, MO 65051, USA",(573) 897-4946,,
East Central Mo Behavioral,-91.8886267,39.1684436,0,"508 S Muldrow St, Mexico, MO 65265, USA",(573) 581-1196,,
SEMO Health Network- New Madrid Medical,-89.5251024,36.5866866,0,"421 Semo Dr, New Madrid, MO 63869, USA",(573) 748-2592,,
COMC - Central Ozarks Medical Center - Dental,-92.4052474,37.8596886,0,"304 W Washington Ave, Richland, MO 65556, USA",(573) 765-2510,,
Your Community Health Center,-91.755745,37.95974,0,"1081 E 18th St, Rolla, MO 65401, USA",(573) 426-4455,,
Family Medicine Associates (Northwest Health Services),-94.7988492,39.7881706,0,"2303 Village Dr, St Joseph, MO 64506, USA",(816) 232-6818,,
Affinia Healthcare,-90.201809,38.639357,0,"1717 Biddle St, St. Louis, MO 63106, USA",(314) 898-1700,,
Betty Jean Kerr People's Health centers,-90.2855889,38.6544546,0,"5701 Delmar Blvd, St. Louis, MO 63112, USA",(314) 367-7848,,
Bothwell Regional Health Center,-93.2212078,38.6994909,0,"601 E 14th St, Sedalia, MO 65301, USA",(660) 826-8833,,
Advocates For A Healthy Community,-93.2872051,37.2144441,1,"618 N Benton Ave, Springfield, MO 65806, USA",(417) 831-0150,,
Montana Migrant Council,-108.5142111,45.7803189,0,"3318 3rd Ave N, Billings, MT 59101, USA",(406) 248-3149,,
Missoula County,-113.6869923,47.0240503,1,"Missoula County, MT, USA",,,
Bluestem Health - Main Clinic,-96.682773,40.823893,1,"1021 N 27th St, Lincoln, NE 68503, USA",(402) 476-1455,,
"Charles Drew Health Center, Inc.",-95.9558177,41.2794743,0,"2915 Grant St, Omaha, NE 68111, USA",(402) 451-3553,,
OneWorld Bellevue,-95.9242594,41.1677392,1,"2207 Georgia Ave, Bellevue, NE 68005, USA",(402) 502-8855,,
"Nevada Health Centers, Inc",-119.7499037,39.1891851,1,"3325 Research Way, Carson City, NV 89706, USA",(800) 787-2568,,
Southern Nevada Health District,-115.2093253,36.1708132,0,"280 S Decatur Blvd, Las Vegas, NV 89107, USA",(702) 759-1000,,
Hope Christian Health Center,-115.0991269,36.2395754,0,"4357 Corporate Center Dr #450, North Las Vegas, NV 89030, USA",(702) 644-4673,,
Community Health Alliance – Wells Ave. Health Center,-119.8035435,39.5157217,0,"1055 S Wells Ave, Reno, NV 89502, USA",(775) 329-6300,,
Ammonoosuc Community Health: Brodzinski Carey J,-71.7693245,44.3001445,1,"25 Mt Eustis Rd, Littleton, NH 03561, USA",(603) 444-2464,,
Amoskeag Health,-71.4660688,42.9964199,0,"145 Hollis St, Manchester, NH 03101, USA",(603) 626-9500,,
Manchester Street,-71.452993,42.9902017,0,"Manchester St, Manchester, NH, USA",,,
Harbor Homes Inc,-71.4857254,42.7369728,0,"77 Northeastern Blvd, Nashua, NH 03062, USA",(603) 882-3616,,
Lamprey Health Care,-70.9442803,43.0752337,0,"207 S Main St, Newmarket, NH 03857, USA",(603) 659-3106,,
Goodwin Community Health,-70.9013996,43.2582399,0,"311 NH-108, Somersworth, NH 03878, USA",(603) 749-2346,,
Community Health Care Inc,-75.2183482,39.435388,1,"105 Manheim Ave, Bridgeton, NJ 08302, USA",(856) 451-4700,,
CAMcare Health Corporation,-75.1156124,39.9443455,0,"817 Federal St, Camden, NJ 08103, USA",(856) 583-2400,,
Osborn Family Health Center,-75.0956665,39.9266963,0,"1601 Haddon Ave, Camden, NJ 08103, USA",(856) 757-3700,,
Zufall Health Center - Medical (ZHC),-74.5595142,40.8838093,1,"18 W Blackwell St, Dover, NJ 07801, USA",(973) 328-3344,,
AtlantiCare Urgent Care Egg Harbor Township,-74.6058701,39.4325164,0,"2500 English Creek Avenue, Bldg. 900 Suite 908, Egg Harbor Township, NJ 08234, USA",(609) 407-2273,,
Southern Jersey Family Medical Centers,-74.7750861,39.620125,0,"860 S White Horse Pike, Hammonton, NJ 08037, USA",(800) 486-0131,,
Horizon Health Center,-74.0615424,40.7294588,0,"412 Summit Ave, Jersey City, NJ 07306, USA",(201) 710-2200,,
Metropolitan Family Health Network,-74.0705259,40.711001,0,"935 Garfield Ave, Jersey City, NJ 07304, USA",(201) 478-5800,,
Lakewood Resource & Referral Center,-74.2127563,40.092059,0,"212 2nd St #204, Lakewood, NJ 08701, USA",(732) 942-9292,,
"OHI Lakewood Health Center (Ocean Health Initiatives, Inc.)",-74.210857,40.0926875,0,"101 2nd St, Lakewood, NJ 08701, USA",(732) 363-6655,,
Rutgers–New Brunswick,-74.4473991,40.5008186,0,"New Brunswick, NJ, USA",(732) 445-4636,,
City Hall - City of Newark,-74.1738765,40.7317066,0,"920 Broad St, Newark, NJ 07102, USA",(973) 733-6400,,
"Paterson Community Health Center, Inc.",-74.1716275,40.9244899,0,"Clinton St. Center, 32 Clinton St, Paterson, NJ 07522, USA",(973) 790-6594,,
Jewish Renaissance Foundation,-74.2692754,40.5034249,0,"149 Kearny Ave #2, Perth Amboy, NJ 08861, USA",(732) 324-2114,,
Neighborhood Health Services Corporation,-74.4560705,40.5994774,0,"1700-58 Myrtle Ave, Plainfield, NJ 07063, USA",(908) 753-6401,,
Henry J. Austin Health Center,-74.7653378,40.2253553,1,"321 N Warren St, Trenton, NJ 08618, USA",(609) 278-5900,,
North Hudson Community Action Corporation,-74.0259202,40.7750433,1,"400 38th St #216, Union City, NJ 07087, USA",(201) 210-0200,,
Albuquerque Health Care for the Homeless,-106.6457061,35.0954017,0,"1217 1st St NW, Albuquerque, NM 87102, USA",(505) 766-5197,,
"First Choice Community Healthcare, Inc.",-106.6827338,35.0459719,0,"2001 N Centro Familiar Blvd SW, Albuquerque, NM 87105, USA",(505) 873-7402,,
First Nations Community HealthSource,-106.5655634,35.075935,0,"7317 Central Ave NE, Albuquerque, NM 87108, USA",,,
Las Clinicas Del Norte: General Dentistry,-106.1854324,36.3306808,0,"571 NM-571, El Rito, NM 87530, USA",(575) 581-0028,,
EL CENTRO FAMILY HEALTH,-106.0857895,35.9983256,0,"538 N Paseo De Onate, Española, NM 87532, USA",(505) 753-7218,,
Ben Archer Health Center,-107.163324,32.666996,1,"NM-187, Hatch, NM 87937, USA",(575) 267-3088,,
Jemez Pueblo,-106.725868,35.6139173,0,"Jemez Pueblo, NM, USA",,,
La Clinica de Familia - Behavioral Health Specialty Services,-106.7789772,32.3098642,0,"100 W Griggs Ave, Las Cruces, NM 88001, USA",(575) 647-2800,,
St. Luke's Health Care Clinic,-106.7890607,32.3024819,0,"999 W Amador Ave, Las Cruces, NM 88005, USA",(575) 527-5482,,
Mora Valley Community Health Services Inc,-105.2782675,35.9553472,0,"3 Mora Valley Clinic Rd, Mora, NM 87732, USA",(575) 387-2201,,
La Casa Family Health Center,-103.351613,34.185663,0,"1515 W Fir St, Portales, NM 88130, USA",(575) 356-6695,,
Presbyterian Medical Services,-105.944343,35.681643,0,"1422 Paseo De Peralta # 1, Santa Fe, NM 87501, USA",(800) 477-7633,,
Southwest CARE Center Harkle Office,-105.9536703,35.6610023,0,"649 Harkle Rd, Santa Fe, NM 87505, USA",(505) 989-8200,,
Whitney M. Young Jr. Health Center,-73.748213,42.6617826,1,"920 Lark Dr, Albany, NY 12207, USA",(518) 465-4771,,
"The Joseph P. Addabbo Family Health Center, Inc.",-73.791738,40.5934632,1,"6200 Beach Channel Dr, Arverne, NY 11692, USA",(718) 945-7150,,
East Hill Medical Center,-76.568547,42.93021,0,"144 Genesee St, Auburn, NY 13021, USA",(315) 253-8477,,
Bronx Community Health Network,-73.890124,40.860632,1,"1 Fordham Plaza # 1108, The Bronx, NY 10458, USA",(718) 405-7720,,
Bronx Lebanon Integrated Services,-73.9111814,40.8434338,1,"1650 Selwyn Ave, The Bronx, NY 10457, USA",(718) 466-8163,,
La Casa de Salud,-73.9000628,40.8229199,0,"966 Prospect Ave, The Bronx, NY 10459, USA",(718) 842-1412,,
Montefiore Hospital,-73.8799291,40.8803814,0,"111 E 210th St, The Bronx, NY 10467, USA",(718) 920-4321,,
Morris Heights Health Center,-73.9100666,40.854781,0,"85 W Burnside Ave, The Bronx, NY 10453, USA",(718) 716-4400,,
Union Community Health Center,-73.8959461,40.8605731,0,"260 E 188th St, The Bronx, NY 10458, USA",(718) 220-2020,,
Urban Health Plan Inc: Madhurapantula Madhavi DO,-73.8922406,40.825041,1,"1065 Southern Blvd, The Bronx, NY 10459, USA",(718) 589-2440,,
VIP Community Services,-73.8900843,40.8422775,0,"770 E 176th St, The Bronx, NY 10460, USA",(718) 583-5150,,
Bedford-Stuyvesant Family Health Center,-73.9426345,40.6795997,0,"1456 Fulton St, Brooklyn, NY 11216, USA",(718) 636-4500,,
Brooklyn Plaza Medical Center,-73.9761549,40.6867555,0,"650 Fulton St, Brooklyn, NY 11217, USA",(718) 596-9800,,
Brownsville Community Pharmacy,-73.9098237,40.6654444,0,"592 Rockaway Ave, Brooklyn, NY 11212, USA",(718) 345-3399,,
CHI Health Center,-73.9829727,40.577148,0,"2882 W 15th St, Brooklyn, NY 11224, USA",(718) 210-3110,,
"HealthCare Choices, Inc.",-73.894158,40.679998,0,"179 Jamaica Ave, Brooklyn, NY 11207, USA",(929) 267-5354,,
Housing Works East New York Community Health Center,-73.8745974,40.6748677,0,"2640 Pitkin Ave, Brooklyn, NY 11208, USA",(718) 277-0386,,
ODA Primary Health Care Center,-73.9587133,40.6997162,0,"14-16 Heyward St, Brooklyn, NY 11249, USA",,,
Sunset Park Family Health Center at NYU Langone–Second Avenue,-74.0209095,40.6456204,1,"5610 2nd Ave, Brooklyn, NY 11220, USA",(718) 630-7942,,
"Community Health Center of Buffalo, Inc.",-78.8345365,42.9420151,0,"34 Benwood Ave, Buffalo, NY 14214, USA",(716) 986-9199,,
Jericho Road Community Health Center,-78.8947595,42.9179215,1,"184 Barton St, Buffalo, NY 14213, USA",(716) 348-3000,,
Neighborhood Health Center - Mattina,-78.8840452,42.8920727,1,"300 Niagara St, Buffalo, NY 14201, USA",(716) 242-8600,,
Cornerstone Family Healthcare,-74.0368676,41.4452155,1,"2570 Rte 9W #10, Cornwall, NY 12518, USA",(845) 220-3100,,
Damian Family Care Centers,-73.818641,40.708241,0,"2, 138-02 Queens Blvd, Briarwood, NY 11435, USA",(718) 657-1100,,
The Floating Hospital: Queensbridge Health Center,-73.9444081,40.7552412,1,"10-29 41st Ave, Queens, NY 11101, USA",(718) 361-6266,,
"Community Medical & Dental Care, Inc. - Pediatrics",-74.0644635,41.1113348,0,"40 Robert Pitt Dr, Monsey, NY 10952, USA",(845) 352-6800,,
Mount Vernon Neighborhood Health Center,-73.8385818,40.9035965,0,"107 W 4th St, Mt Vernon, NY 10550, USA",(914) 699-7200,,
Refuah Health Center Inc,-74.050608,41.1174593,0,"5 Twin Ave, Spring Valley, NY 10977, USA",(845) 354-9300,,
Care For the Homeless,-73.9829629,40.7466432,0,"30 E 33rd St 5th floor, New York, NY 10016, USA",(212) 366-4459,,
Community Health Project,-74.0031459,40.7430611,0,"356 W 18th St, New York, NY 10011, USA",(212) 627-3769,,
Community Healthcare Network- Lower East Side / Catherine M. Abate,-73.9868425,40.7206065,0,"150 Essex St, New York, NY 10002, USA",(212) 477-1120,,
East Harlem Council-Human Services,-73.9359411,40.7973176,0,"319 E 117th St, New York, NY 10035, USA",(212) 348-6410,,
The Institute for Family Health,-73.9998254,40.7409037,1,"230 W 17th St, New York, NY 10011, USA",(212) 206-5200,,
NYC Health + Hospitals,-74.0088973,40.7034598,0,"65 Water St, New York, NY 10041, USA",(212) 442-3853,,
"Project Renewal, Inc.",-74.0051342,40.7282832,0,"200 Varick St, New York, NY 10014, USA",(212) 620-0340,,
Settlement Health,-73.9441243,40.7909443,0,"212 E 106th St #1, New York, NY 10029, USA",(212) 360-2600,,
21 Club,-73.9774216,40.7605396,0,"21 W 52nd St, New York, NY 10019, USA",(212) 582-7200,,
Harlem United,-73.9449228,40.807913,0,"306 Malcolm X Blvd, New York, NY 10027, USA",(212) 803-2850,,
William F Ryan Community Health,-73.9675886,40.7935824,1,"110 W 97th St, New York, NY 10025, USA",(212) 749-1820,,
Hudson River Healthcare,-73.9173819,41.2901355,1,"1200 Brown St, Peekskill, NY 10566, USA",,,
Finger Lakes Community Health,-77.055357,42.6617825,1,"14 Maiden Ln, Penn Yan, NY 14527, USA",(315) 531-9102,,
Hudson Headwaters Health Network,-73.6904824,43.2957263,0,"9 Carey Rd, Queensbury, NY 12804, USA",(518) 761-0300,,
Anthony L. Jordan Health Center,-77.6018621,43.1693914,0,"82 Holland St, Rochester, NY 14605, USA",(585) 423-5800,,
Family Health Center,-73.9157455,42.8044534,0,"624 McClellan St # 101, Schenectady, NY 12304, USA",(518) 382-2260,,
Community Health Center of Richmond Port Richmond Health Center,-74.1349334,40.6353759,0,"235 Port Richmond Ave, Staten Island, NY 10302, USA",(718) 876-1732,,
North Country Family Health Center,-75.9153183,43.9762978,0,"238 Arsenal St, Watertown, NY 13601, USA",(315) 782-9450,,
Black River Family Practice,-77.9209969,34.5496515,0,"301 S Campbell St, Burgaw, NC 28425, USA",(910) 259-5721,,
Piedmont Health Services Inc: Steiner Beat D MD,-79.0696849,35.9131794,1,"301 Lloyd St, Carrboro, NC 27510, USA",(919) 933-8494,,
C.W. Williams Community Health Center,-80.8959649,35.2241971,0,"3333 Wilkinson Blvd, Charlotte, NC 28208, USA",(866) 299-4968,,
Charlotte Community Health Clinic,-80.9271298,35.231729,0,"5301 Wilkinson Blvd, Charlotte, NC 28208, USA",(704) 316-6561,,
Collettsville Medical Center,-81.675736,35.926683,0,"4330 Collettsville Rd, Collettsville, NC 28611, USA",(828) 754-2409,,
Cabarrus Community Health Center,-80.5979299,35.4170124,0,"202 McGill Ave NW # D, Concord, NC 28025, USA",(704) 792-2242,,
Lincoln Community Health Center/pharmacy,-78.8978874,35.9804244,0,"1301 Fayetteville St, Durham, NC 27707, USA",(919) 956-4000,,
Gaston Family Health,-81.1795316,35.2613218,0,"200 E Second Ave, Gastonia, NC 28052, USA",(704) 874-1900,,
Triad Adult & Pediatric Medicine - Pediatrics at Wendover,-79.7724083,36.0875713,1,"1046 Wendover Ave E, Greensboro, NC 27405, USA",(336) 272-1050,,
Blue Ridge Health - Chimney Rock Road,-82.4312,35.349669,0,"2579 Chimney Rock Rd, Hendersonville, NC 28792, USA",(828) 692-4289,,
"Kinston Community Health Center, Inc",-77.5815788,35.2632511,0,"324 N Queen St, Kinston, NC 28501, USA",(252) 522-9800,,
First Choice Community Health Centers,-78.8155485,35.4246919,0,"40 Autumn Fern Trail, Lillington, NC 27546, USA",(910) 364-0970,,
Commwell Health Newton Grove/Spivey's Corner Medical,-78.4512765,35.2430255,0,"3331 Easy St, Dunn, NC 28334, USA",(877) 935-5255,,
Robeson Health Care Corporation,-79.17876,34.6796,0,"211 E Wardell St, Pembroke, NC 28372, USA",(910) 521-3583,,
Advance Community Health,-78.6156492,35.7674839,0,"1001 Rock Quarry Rd, Raleigh, NC 27610, USA",(919) 833-3111,,
Heartland Health Centers-Trilogy,-87.6665425,42.0105742,1,"1400 W Greenleaf Ave, Chicago, IL 60626, USA",(773) 508-6135,,
"Rural Health Group, Inc. - Corporate Office",-77.6539072,36.4646059,1,"500 Jackson St, Roanoke Rapids, NC 27870, USA",(252) 536-5440,,
Opportunities Industrialization Center,-77.7866018,35.9509943,0,"402 E Virginia St, Rocky Mount, NC 27801, USA",(252) 977-3730,,
Person Family Medical & Dental Center,-78.9779822,36.4020596,0,"702 N Main St, Roxboro, NC 27573, USA",(336) 599-9271,,
Greene County Health Care Inc,-77.680914,35.453299,1,"7 Professional Dr, Snow Hill, NC 28580, USA",(252) 747-8162,,
"Stedman-Wade Health Services, Inc.",-78.7299294,35.1592543,0,"7118 Main St, Wade, NC 28395, USA",(910) 483-6694,,
Carolina Family Health Centers,-77.907738,35.7248753,0,"303 Green St E, Wilson, NC 27893, USA",(252) 243-9800,,
Bertie County Rural Health,-76.9300618,35.988615,0,"104 Rhodes Ave, Windsor, NC 27983, USA",(252) 794-3042,,
Spectra Health,-97.0281692,47.9221995,1,"212 S 4th St, Grand Forks, ND 58201, USA",(701) 757-2100,,
"Kagman Community Health Center, Admin Office",145.7779045,15.1784264,0,"Kagman III, Kagman, Saipan 96950, CNMI",(670) 256-5242,,
"Asian Services In Action, Inc.",-81.505982,41.0804706,0,"370 E Market St, Akron, OH 44304, USA",(330) 535-3263,,
AxessPointe Community Health Centers/Arlington,-81.4928697,41.0340432,1,"1400 S Arlington St #38, Akron, OH 44306, USA",(330) 724-5471,,
"Hopewell Health Centers, Inc.",-83.0127719,39.3333179,0,"1049 Western Ave, Chillicothe, OH 45601, USA",(740) 773-4366,,
Cincinnati Health Network,-84.5017164,39.1318847,1,"2825 Burnet Ave #232, Cincinnati, OH 45219, USA",(513) 961-0600,,
Cincinnati,-84.5120196,39.1031182,0,"Cincinnati, OH, USA",,,
The HealthCare Connection Inc. Lincoln Heights Health Center,-84.4525044,39.2389742,0,"1401 Steffen Ave, Cincinnati, OH 45215, USA",(513) 588-3623,,
WinMed Health Services,-84.5148759,39.1853039,0,"5275 Winneste Ave, Cincinnati, OH 45232, USA",(513) 242-1033,,
Care Alliance Health Center,-81.6847025,41.5065133,0,"1530 St Clair Ave NE, Cleveland, OH 44114, USA",(216) 535-9100,,
"Northeast Ohio Neighborhood Health Services, Inc. (NEON) - East Cleveland Health Center",-81.57562,41.5367918,0,"15201 Euclid Ave, Cleveland, OH 44112, USA",(216) 541-5600,,
Northeast Ohio Neighborhood Health Services Inc,-81.6299774,41.5092067,0,"8300 Hough Ave, Cleveland, OH 44103, USA",(216) 231-7700,,
PrimaryOne Health West Broad Location,-83.0612901,39.9558315,0,"2300 W Broad St, Columbus, OH 43204, USA",(614) 645-5500,,
Heart of Ohio Family Health at Capital Park,-82.9518432,40.036808,0,"2365 Innis Rd, Columbus, OH 43224, USA",(614) 235-5555,,
Lower Lights Christian Health Center,-83.0318069,39.9591522,0,"1160 W Broad St, Columbus, OH 43222, USA",(614) 274-1455,,
Southeast Healthcare,-83.0016827,39.965111,0,"16 W Long St, Columbus, OH 43215, USA",(614) 225-0990,,
Community Health Centers of Greater Dayton,-84.2172602,39.7560353,0,"1323 W Third St, Dayton, OH 45402, USA",(937) 586-9733,,
Butler County Community Health,-84.562474,39.3982866,0,"210 S 2nd St #1, Hamilton, OH 45011, USA",(513) 892-1888,,
Ironton-Lawrence County CAO,-82.6847778,38.5386543,0,"305 N 5th St, Ironton, OH 45638, USA",(740) 532-3140,,
Health Partners of Western Ohio,-84.099053,40.7122978,1,"441 E 8th St, Lima, OH 45804, USA",(419) 221-3072,,
Third Street Family Health Services,-82.5374802,40.7606139,0,"600 W 3rd St, Mansfield, OH 44906, USA",(419) 522-6191,,
"COPC Westerville Tsalikova, Fatima MD",-83.1317229,40.588218,0,"205 W Center St # 200, Marion, OH 43302, USA",(614) 901-2273,,
Shawnee Mental Health Center,-82.9987862,38.7376788,0,"901 Washington St, Portsmouth, OH 45662, USA",(740) 354-7702,,
Sandusky,-82.7116821,41.4561754,0,"Sandusky, OH 44870, USA",,,
Ohio North East Health System,-80.6429419,41.1093131,0,"726 Wick Ave, Youngstown, OH 44505, USA",(330) 747-2330,,
"Shortgrass Community Health Center, Inc.",-99.91436,34.6958503,0,"400 E Sycamore St, Hollis, OK 73550, USA",(580) 688-2800,,
Variety Care Straka Terrace,-97.5345056,35.3880719,1,"1025 Straka Terrace, Oklahoma City, OK 73139, USA",(405) 632-6688,,
Stigler Health & Wellness Center,-95.1073245,35.2578866,0,"1505 E Main St, Stigler, OK 74462, USA",(918) 967-3368,,
Virginia Garcia Memorial Health Center,-122.9767156,45.520804,1,"226 SE 8th Ave, Hillsboro, OR 97123, USA",(503) 601-7400,,
Eugene,-123.0867536,44.0520691,1,"Eugene, OR, USA",,,
Siskiyou Community Health Center,-123.3258741,42.4581159,0,"1701 NW Hawthorne Ave, Grants Pass, OR 97526, USA",(541) 471-3455,,
La Clinica West Medford Health Center,-122.8868909,42.323455,0,"1307 W Main St, Medford, OR 97501, USA",(541) 535-6239,,
Oregon City,-122.6050422,45.3364465,0,"Oregon City, OR 97045, USA",,,
Multnomah County,-122.5863212,45.5145659,1,"Multnomah County, OR, USA",,,
"NARA Administration, Child & Family Services",-122.4245633,45.498769,0,"620 NE 2nd St, Gresham, OR 97030, USA",(503) 224-1044,,
Neighborhood Health Center - Milwaukie Medical Clinic,-122.629271,45.448712,1,"10330 SE 32nd Ave Ste 325, Portland, OR 97222, USA",(503) 416-1960,,
The Wallace Medical Concern,-122.4759465,45.5233268,0,"18139 NE Couch St, Portland, OR 97230, USA",,,
Mosaic Medical - Prineville Clinic,-120.8491401,44.3035339,0,"375 NW Beaver St Ste 101, Prineville, OR 97754, USA",(541) 383-3005,,
Tillamook,-123.8440137,45.4562158,0,"Tillamook, OR 97141, USA",,,
Palau,134.58252,7.51498,0,Palau,,,
Neighborhood Health Center,-75.4615578,40.6088376,0,"218 N 2nd St, Allentown, PA 18102, USA",(610) 841-8400,,
Star Community Health Women's Health - Bethlehem,-75.3937008,40.6089201,0,"801 Ostrum St, Bethlehem, PA 18015, USA",(484) 526-4761,,
Chespenn Health Services,-75.393587,39.838041,0,"2600 W 9th St, Chester, PA 19013, USA",(610) 485-3800,,
Centerville Clinics - Joseph A. Yablonski Memorial Clinic,-79.9839273,40.0473928,0,"1070 Old National Pike, Fredericktown, PA 15333, USA",(724) 632-6801,,
Cornerstone Care Community Health Center of Greensboro,-79.9153781,39.8008687,0,"7 Glassworks Rd, Greensboro, PA 15338, USA",(724) 943-3308,,
Hamilton Health Center Inc,-76.861339,40.251105,0,"1301 Sycamore St, Harrisburg, PA 17104, USA",(717) 230-3909,,
Lancaster Health Center,-76.3102569,40.0432548,0,"304 N Water St, Lancaster, PA 17603, USA",(717) 299-6371,,
Meadow Creek Family Practice,-76.0733032,40.0997123,0,"435 S Kinzer Ave, New Holland, PA 17557, USA",(717) 351-2400,,
Delaware Valley Community Health,-75.1614056,39.9669239,1,"1412 Fairmount Ave, Philadelphia, PA 19130, USA",(215) 235-9600,,
Esperanza Health Center,-75.1364988,40.0189565,0,"4417 N 6th St, Philadelphia, PA 19140, USA",(215) 302-3600,,
"GREATER PHILADELPHIA HEALTH ACTION, INC",-75.148743,39.9592238,0,"432 N 6th St, Philadelphia, PA 19123, USA",(215) 925-2400,,
Philadelphia FIGHT,-75.1617544,39.948075,0,"1233 Locust St, Philadelphia, PA 19107, USA",(215) 985-4448,,
Philadelphia,-75.1652215,39.9525839,0,"Philadelphia, PA, USA",,,
Project HOME,-75.1612585,39.9672135,0,"1515 Fairmount Ave, Philadelphia, PA 19130, USA",(215) 232-7272,,
Public Health Management Corporation,-75.1664857,39.9523167,1,"1500 Market St, Philadelphia, PA 19102, USA",(215) 985-2500,,
Resources For Human Development Inc,-75.133448,40.0244392,1,"4800 N 5th St, Philadelphia, PA 19120, USA",(215) 329-3022,,
Spectrum Community Health Center (SCHC),-75.2250449,39.9652863,0,"5201 Haverford Ave, Philadelphia, PA 19139, USA",(215) 471-2761,,
East Liberty Family Health Care Center - East Liberty,-79.9230037,40.4629273,0,"6023 Harvard St, Pittsburgh, PA 15206, USA",(412) 661-2802,,
"Primary Care Health Services, Inc.",-79.896213,40.454588,0,"7227 Hamilton Ave 2nd floor, Pittsburgh, PA 15208, USA",(412) 244-7792,,
Community Health & Dental Care,-75.6616449,40.2369002,0,"351 W Schuylkill Rd Suite G-15A, Pottstown, PA 19465, USA",(610) 326-9460,,
The Wright Center for Community Health | The Wright Center for Graduate Medical Education Admin Bldg,-75.6696243,41.4013862,0,"501 S Washington Ave Suite 1000, Scranton, PA 18505, USA",(570) 343-2383,,
River Valley Health & Dental Center,-77.0078411,41.2421983,1,"471 Hepburn St, Williamsport, PA 17701, USA",(570) 567-5400,,
Centro Salud Familiar Dr. Julio Palmieri Ferri,-66.060217,17.9684466,0,"Arroyo, 00714, Puerto Rico",(787) 839-4150,,
Atlantic Medical Center,-66.5639949,18.4301026,0,"PR-2, Barceloneta, 00617, Puerto Rico",(787) 846-4412,,
Community Health Foundation of Puerto Rico,-66.1483478,18.3958586,0,"17 Calle Marginal C, Bayamón, 00961, Puerto Rico",(787) 780-1273,,
Corporacion SANOS,-66.0303497,18.2334003,0,"Esquina Troche, Av. Rafael Cordero, Caguas, 00725, Puerto Rico",(787) 745-0340,,
Camuy Health Services,-66.8431641,18.4839321,0,"#63, Ave Luis Munoz Rivera, Camuy, 00627, Puerto Rico",(787) 898-2660,,
