name,st_abbr,city,address,phone,testing_status,lon,lat
Charles River Community Health at 43 Foundry Ave,MA,Waltham,43 Foundry Ave,781-693-3800,Yes,-71.21890446,42.37062495
Salem Teen School Health Center,MA,Salem,77 Willson St,978-740-1220,Yes,-70.91159103,42.50631199
WYA New London Homeless Hospitality Center,CT,New London,327 Huntington St,860-347-6971,Yes,-72.10176797,41.36307199
Horace Mann Laboratory School,MA,Salem,79 Willson St,978-740-8388,Yes,-70.9088701,42.50757955
SALEM FAMILY HEALTH CENTER,MA,Salem,47 Congress St,978-744-8388,Yes,-70.88620602,42.51580198
Collins Middle School,MA,Salem,29 Highland Ave,978-740-8388,Yes,-70.90610876,42.51478216
LifeBridge,MA,Salem,56 Margin St,978-744-8388 x97882,Yes,-70.89640704,42.51822498
Bentley Academy Charter,MA,Salem,25 Memorial Dr,978-740-8388,Yes,-70.88075703,42.52839902
Mayor Jean A. Levesque Community Life Center,MA,Salem,401 Bridge St,978-744-0388,Yes,-70.90709808,42.52050256
EDWARD M. KENNEDY COMMUNITY HEALTH CENTER FRAMINGHAM,MA,Framingham,354 Waverley St,508-854-2122,Yes,-71.41385898,42.276941
UCFS Behavioral Health Center - New London,CT,New London,351 N Frontage Rd Ste 24,860-442-4319,Yes,-72.12016314,41.37051522
Peabody FAMILY HEALTH CENTER,MA,Peabody,89 Foster St,978-532-4903,Yes,-70.93027127,42.52272187
Bates Elementary School,MA,Salem,53 Liberty Hill Ave,978-740-8388,Yes,-70.90526923,42.53451668
UCFS Eldercare Health Center,CT,Norwich,165 Mckinley Ave,860-887-5005,Yes,-72.07764353,41.53451228
Norwich Technical High School - School Based Health Center,CT,Norwich,7 Mahan Dr,860-822-4909,Yes,-72.07825745,41.54539366
UCFS at Kelly STEAM Magnet Middle School,CT,Norwich,25 Mahan Dr,860-823-4211,Yes,-72.07788561,41.5465052
Norwich Free Academy - School Based Health Center,CT,Norwich,305 Broadway,860-887-2505,Yes,-72.08293803,41.53657202
GENERATIONS FHC - NORWICH,CT,Norwich,330 Washington St Ste 510,860-885-1308,Yes,-72.08697265,41.54363006
BACKUS MOBILE VAN,CT,Norwich,330 Washington St,860-885-1308,Yes,-72.08697265,41.54363006
Program for All-Inclusive Care for the Elderly (PACE) Site,MA,Gloucester,29 Emerson Ave,978-283-7375,Yes,-70.67646507,42.61572483
FRAMINGHAM HIGH SCHOOL SBHC,MA,Framingham,115 A St,508-620-4963,Yes,-71.40061993,42.31760061
UCFS at Global Studies Magnet Middle School,CT,Norwich,15 Teachers Dr,860-823-4212,Yes,-72.09819896,41.52912336
UCFS Health Center - Norwich,CT,Norwich,47 Town St,860-892-7042,Yes,-72.09191383,41.54687276
UCFS at Stanton Network Elementary School,CT,Norwich,386 New London Tpke,860-823-4207,Yes,-72.10312433,41.52246339
Program for All-Inclusive Care for the Elderly (PACE) Site,MA,Beverly,100 Cummings Ctr,978-712-3360,Yes,-70.88555734,42.55970723
Peabody Learning Academy,MA,Peabody,210 Andover St,978-740-8388,Yes,-70.9420429,42.54306827
Dual Language and Arts Elementary School SBHC,CT,Waterford,51 Daniels Ave,860-443-0461,Yes,-72.16712645,41.33397262
Gloucester Family Health Center,MA,Gloucester,302 Washington St,978-744-8388,Yes,-70.68032544,42.6265395
UCFS at Waterford Country School,CT,Quaker Hill,78 Hunts Brook Rd,860-442-9454,Yes,-72.15281653,41.41539229
Peabody Veteran Memorial High School SBHC,MA,Peabody,485 Lowell St,978-744-8388,Yes,-70.974403,42.54448901
Montville High School - School Based Health Center,CT,Oakdale,800 Old Colchester Rd,860-848-9208,Yes,-72.1632862,41.45804528
"Generations Family Health Center, Inc. - Putnam",CT,Putnam,202 Pomfret St,860-963-7917,Yes,-71.91595375,41.91165477
Generations Family Health Center - School Based Health Center at Putnam High School,CT,Putnam,152 Woodstock Ave,860-928-2714,Yes,-71.91640989,41.92368347
Generations Family Health Center - School Based Health Center at Putnam Public Schools,CT,Putnam,35 Wicker St,860-963-6920,Yes,-71.91822191,41.92323809
Webster Middle School Health Center,MA,Webster,75 Poland St,508-943-1922,Yes,-71.86979998,42.043886
ROOSEVELT SCHOOL HEALTH CENTER,MA,Worcester,1006 Grafton St,508-798-3229,Yes,-71.75713496,42.243173
Hudson River HealthCare Greenport,NY,Greenport,327 Front St,631-477-2678,Yes,-72.36353296,41.10150049
Cross Roads House,NH,Portsmouth,600 Lafayette Rd Rm 120,603-436-2218,Yes,-70.7700626,43.0553694
Goodwin Community Health Mobile Van 1,NH,Portsmouth,100 Campus Dr Ste 12,603-422-8208 x111,Yes,-70.7851255,43.04065141
Goodwin Community Health,NH,Portsmouth,100 Campus Dr Ste 12,603-422-8208 x1,Yes,-70.7851255,43.04065141
Greater Portland Health at Peaks Island School,ME,Portland,4 Church Ave,207-766-2528,Yes,-70.19695499,43.66089598
Nasson Health Care - MBH - Biddeford,ME,Biddeford,2 Springbrook Dr,207-490-6900,Yes,-70.48960998,43.48553802
Greater Portland Health at Reiche Community School,ME,Portland,166 Brackett St,207-874-8175,Yes,-70.26713483,43.65090069
Greater Portland Health at Portland High School,ME,Portland,284 Cumberland Ave,207-874-8250,Yes,-70.25903866,43.65938384
Franklin Towers Health Center,ME,Portland,211 Cumberland Ave,207-874-2141,Yes,-70.25597608,43.66131424
Temporary Site-Healthcare for the Homeless,ME,Portland,20 Portland St,207-805-3886,Yes,-70.26216721,43.65843744
Portland Community Health Center at Preble Street,ME,Portland,63 Preble St,207-874-2141,Yes,-70.26164384,43.65890247
Greater Portland Health Oxford Street,ME,Portland,234 Oxford St,207-874-2141,Yes,-70.2614384,43.65924546
MATINICUS VIA TELEMEDICINE,ME,Matinicus,SUNBEAN DOCKED @ MATINICUS WHF,207-366-3453,Yes,-68.88742,43.86513
South Portland Community Health Center,ME,South Portland,100 Brickhill Ave,207-874-2141 x5028,Yes,-70.30777867,43.63732108
Portland Community Health Center,ME,Portland,180 Park Ave,207-874-2141,Yes,-70.2743125,43.65618212
Greater Portland Health at King Middle School,ME,Portland,92 Deering Ave,207-874-8140,Yes,-70.27399692,43.65760068
Greater Portland Health at East End School,ME,Portland,195 North St,207-874-8228,Yes,-70.25397809,43.67114663
Greater Portland Health at Presumpscot Elementary School,ME,Portland,69 Presumpscot St,207-874-8220,Yes,-70.259443,43.68427399
Greater Portland Health at Ocean Avenue Elementary School,ME,Portland,150 Ocean Ave,207-874-8180,Yes,-70.28404104,43.67706798
Greater Portland Health at Deering High School,ME,Portland,370 Stevens Ave,207-874-8260,Yes,-70.29630301,43.67153098
Greater Portland Health at Longfellow Elementary School,ME,Portland,432 Stevens Ave,207-874-8195,Yes,-70.2952479,43.67302485
Greater Portland Health at Lincoln Middle School,ME,Portland,522 Stevens Ave,207-874-8145,Yes,-70.29470182,43.67646138
Greater Portland Health at Fred P. Hall Elementary School,ME,Portland,23 Orono Rd,207-874-8205,Yes,-70.31724235,43.67840607
Greater Portland Health at Casco Bay High School,ME,Portland,196 Allen Ave,207-874-8160,Yes,-70.293942,43.697327
Nasson Health Care - North Berwick,ME,North Berwick,388 Somersworth Rd,207-676-2175,Yes,-70.78083602,43.30644298
Greater Portland Health at Lyman Moore Middle School,ME,Portland,171 Auburn St,207-874-8150,Yes,-70.28756303,43.706402
Goodwin Community Health/St. Vincent de Paul,NH,Exeter,53 Lincoln St,603-722-9922,Yes,-70.95756602,42.98091903
Greater Portland Health at Harrison Lyseth Elementary School,ME,Portland,175 Auburn St,207-874-8215,Yes,-70.28577903,43.707918
Greater Portland Health at Riverton Elementary School,ME,Portland,1600 Forest Ave,207-874-8210,Yes,-70.30976904,43.69581398
Goodwin Community Health Mobile Van 2,NH,Exeter,101 Main St,603-422-8208 x107,Yes,-70.95966569,42.98301731
Greater Portland Health at Westbrook High School,ME,Westbrook,125 Stroudwater St,207-854-0810,Yes,-70.35409699,43.67354901
Riverton Health Center,ME,Portland,59 Riverton Dr,207-874-2141,Yes,-70.32011751,43.69859765
LAMPREY HEALTH CARE,NH,Newmarket,207 S Main St,603-659-2494,Yes,-70.94299702,43.07444598
Community Action Drop-In Center,MA,Haverhill,16 Ashland St,978-725-7400,Yes,-71.07578595,42.78127673
Goodwin Community Health,NH,Somersworth,311 Route 108,603-749-2346,Yes,-70.90199937,43.25769299
MITCH'S PLACE,MA,Haverhill,127 How St,978-725-7400,Yes,-71.08105509,42.77694156
Haverhill YWCA,MA,Haverhill,107 Winter St,978-725-7400,Yes,-71.08113564,42.77760662
EMMAUS HOUSE,MA,Haverhill,150 How St,978-725-7400,Yes,-71.081658,42.77727298
Southeastern NH Services,NH,Dover,272 County Farm Rd,603-516-8160,Yes,-70.93796438,43.21913703
YORK COUNTY SHELTER,ME,Alfred,147 Shaker Hill Rd,207-324-1137,Yes,-70.7150416,43.5018474
Nasson Health Care - MBH - Springvale,ME,Springvale,474 Main St,207-490-6900,Yes,-70.79626903,43.46554902
YORK COUNTY COMMUNITY HEALTH CARE NAP,ME,Springvale,15 Oak St,207-324-0546,Yes,-70.79787903,43.46465723
DAYBREAK SHELTER,MA,Lawrence,75 N Parish Rd,978-975-4547,Yes,-71.14464596,42.69108793
Lawrence High School,MA,Lawrence,70-71 N Parish Rd,978-725-7400,Yes,-71.1455742,42.69087262
GLFHC at Lawrence General Hospital,MA,Lawrence,1 General St,978-725-7400,Yes,-71.149867,42.70980801
GLFHC-SOUTH,MA,Lawrence,73 Winthrop Ave Apt D,978-686-3017,Yes,-71.15184102,42.68953801
GREATER LAWRENCE FAMILY HEALTH,MA,Lawrence,34 Haverhill St,978-686-0090,Yes,-71.15216397,42.71208763
BREAD & ROSES SOUP KITCHEN,MA,Lawrence,58 Newbury St,978-725-7400,Yes,-71.15586601,42.70972901
YWCA,MA,Lawrence,38 Lawrence St,978-725-7400,Yes,-71.16197273,42.7089668
YMCA,MA,Lawrence,40 Lawrence St,978-725-7400,Yes,-71.1621262,42.70935647
Community Partners,NH,Rochester,25 Old Dover Rd,603-516-9300,Yes,-70.97436704,43.28739511
MARY IMMACULATE/RESTORATIVE CTR,MA,Lawrence,172 Lawrence St,978-725-7400,Yes,-71.16471604,42.71335699
GLFHC-NORTH,MA,Lawrence,150 Park St,978-685-1770,Yes,-71.16615999,42.71587701
GLFHC-WEST,MA,Lawrence,700 Essex St,978-689-2400,Yes,-71.17212397,42.70193899
GOOD SHEPHERD CENTER,MA,Lawrence,260 Park St,978-725-7400,Yes,-71.1718394,42.71604871
Pegasus House,MA,Lawrence,482 Lowell St,978-687-4257,Yes,-71.17950901,42.701918
Islands Community Medical Center Annex,ME,Vinalhaven,25 Medical Center Loop,207-863-4109,Yes,-68.83099714,44.0460816
ISLANDS COMMUNITY MEDICAL SERVICES,ME,Vinalhaven,15 Medical Center Loop,207-863-4341,Yes,-68.83052046,44.0465815
GREATER LAWRENCE TECH SCHOOL,MA,Andover,57 River Rd,978-686-8521,Yes,-71.19804299,42.696993
VINALHAVEN SCHOOL,ME,Vinalhaven,22 Arcola Ln,207-863-4800,Yes,-68.82202875,44.04837753
VINALHAVEN ELDERCARE SERVICES,ME,Vinalhaven,17 Beaver Dam Rd,207-863-9980,Yes,-68.82531119,44.04997407
Methuen Family Health Center,MA,Methuen,147 Pelham St Ste 1,978-686-0090,Yes,-71.20248816,42.72775613
CAB TRANSITIONS,MA,Tewksbury,365 East St,978-725-7400,Yes,-71.21685546,42.61250371
GLFHC Mobile Unit,MA,Methuen,401 Griffin Brook Dr,978-725-7400,Yes,-71.23626749,42.69169245
Lilac Pediatrics,NH,Rochester,180 Farmington Rd,603-335-4522,Yes,-71.02063356,43.34352846
LAMPREY HEALTH CARE,NH,Raymond,128 Route 27,603-659-2494,Yes,-71.18813399,43.040797
LCHC Consolidated Site,MA,Lowell,161 Jackson St,978-937-9700,Yes,-71.31035287,42.64216022
Lowell CHC at 135 Jackson Street,MA,Lowell,135 Jackson St,978-937-9700,Yes,-71.31035287,42.64216022
Lowell CHC - 101 Jackson Street,MA,Lowell,101 Jackson St,978-937-9700,Yes,-71.31105383,42.64198936
LOWELL HIGH SCHOOL HEALTH CTR,MA,Lowell,50 Father Morissette Blvd,978-458-6642,Yes,-71.31145282,42.64806892
Lowell Transitional Living Center,MA,Lowell,205 Middlesex St,978-458-9888,Yes,-71.31238103,42.64094799
Lowell High School Career Academy,MA,Lowell,125 Smith St,978-970-3318,Yes,-71.32301398,42.63398099
Kathyrn P. Stoklosa Middle School,MA,Lowell,560 Broadway St,978-970-3346,Yes,-71.32473118,42.64325427
Greater Lowell Technical High School,MA,Tyngsboro,250 Pawtucket Blvd,978-454-5411,Yes,-71.38567399,42.65385201
Lamprey Health Care Nashua,NH,Nashua,22 Prospect St,603-883-1626,Yes,-71.45879645,42.75666746
InteGreat Health,NH,Nashua,7 Prospect St Ste 1,999-999-9999,Yes,-71.46119896,42.755719
Lamprey Health Care - Nashua Soup Kitchen &amp; Shelter,NH,Nashua,2 Quincy St,603-883-1626,Yes,-71.4617059,42.76066994
Maple Street Shelter,NH,Nashua,14 Maple St,603-821-7788,Yes,-71.46465803,42.75754836
Harbor Care Health and Wellness Center,NH,Nashua,45 High St,603-821-7788 x4000,Yes,-71.46748304,42.76082299
Harbor Care Health and Wellness Center Mobile Unit 1,NH,Nashua,45 High St,603-882-3616,Yes,-71.46748304,42.76082299
Harbor Care Health and Wellness Center,NH,Nashua,12 Amherst St,603-882-3616 x23616,Yes,-71.46843195,42.76567385
Amoskeag Health at 184 Tarrytown Road,NH,Manchester,184 Tarrytown Rd,603-626-9500,Yes,-71.43518581,42.98424157
Bicentennial Elementary School,NH,Nashua,296 E Dunstable Rd,603-821-7788,Yes,-71.473085,42.71368028
Amherst Street Elementary School,NH,Nashua,71 Amherst St,603-821-7788,Yes,-71.47568329,42.76832013
Ledge Street Elementary School,NH,Nashua,139 Ledge St,603-821-7788,Yes,-71.48154745,42.75505117
Wilson Street Integrated Health,NH,Manchester,293 Wilson St Ste 102,603-665-7450,Yes,-71.44811258,42.98125729
Families In Transition,NH,Manchester,177 Lake Ave,603-647-4837,Yes,-71.45830517,42.98716171
NEW HORIZONS SHELTER,NH,Manchester,199 Manchester St,603-668-1877,Yes,-71.45869897,42.99010254
Amoskeag Health at 1245 Elm Street,NH,Manchester,1245 Elm St,603-668-6629,Yes,-71.46345118,42.99596877
Amoskeag Health: ProHealth,NH,Manchester,1555 Elm St Fl 1,603-626-9500,Yes,-71.46381897,43.000415
Amoskeag Health at 145 Hollis Street,NH,Manchester,145 Hollis St,603-626-9500,Yes,-71.46600074,42.99598501
Amoskeag Health at 88 McGregor Street,NH,Manchester,88 Mcgregor St,603-626-9500,Yes,-71.47363529,42.99150295
Birch Hill Elementary School,NH,Nashua,17 Birch Hill Dr,603-821-7788,Yes,-71.51256167,42.76678299
Harbor Care Clinic and Wellness Center,NH,Nashua,615 Amherst St,603-882-3616,Yes,-71.53878018,42.80196108
COASTSIDE MENTAL HEALTH CENTER,CA,Half Moon Bay,225 Cabrillo Hwy S Fl 2,650-726-6369,Yes,-122.432991,37.46502702
Coastside Health Center,CA,Half Moon Bay,225 Cabrillo Hwy S Ste 100A,650-573-3941,Yes,-122.432991,37.46502702
39th Avenue Campus - Outpatient Clinics,CA,San Mateo,222 W 39th Ave,650-573-2222,Yes,-122.2989501,37.53032007
HCH Mobile Dental Van,CA,San Mateo,222 W 39th Ave,650-573-2561,Yes,-122.2989501,37.53032007
MOBILE HEALTH CLINIC,CA,San Mateo,225 37th Ave,650-573-2786,Yes,-122.3007797,37.53173692
EDISON CLINIC,CA,San Mateo,222 W 39th Ave # S-130,650-573-2358,Yes,-122.299368,37.53133001
RON ROBINSON SENIOR CARE CENTER,CA,San Mateo,222 W 39th Ave # S-131,650-573-2426,Yes,-122.299368,37.53133001
CENTRAL COUNTY MENTAL HEALTH CTR,CA,San Mateo,1950 Alameda De Las Pulgas,650-573-3571,Yes,-122.3212996,37.54576675
LAC-CANOGA PARK HEALTH CENTER,CA,Canoga Park,7107 Remmet Ave,818-340-3570,Yes,-118.600572,34.19941202
El Proyecto del Barrio Mobile Clinic,CA,Winnetka,20800 Sherman Way,818-830-7133,No,-118.58649,34.20097247
S. Mark Taper Center For a Healthy Community - WINNETKA Clinic,CA,Winnetka,20800 Sherman Way,818-883-2273,No,-118.58649,34.20097247
Omni Family Health,CA,Bakersfield,4151 Mexicali Dr,800-300-6664,Yes,-119.081645,35.31718419
Bentley Health Center,CA,Waterford,12633 Bentley St,209-394-7913,Yes,-120.761029,37.64112099
Bentley Health Center,CA,Waterford,12619 Bentley St,209-394-7913,Yes,-120.761283,37.64093898
Hughson Health Center,CA,Hughson,2412 3rd St Ste B,209-850-3500,Yes,-120.866285,37.59604601
GVHC - Ceres Whitmore Avenue,CA,Ceres,3109 E Whitmore Ave,209-383-1848,Yes,-120.937574,37.59478751
GVHC - Empire,CA,Empire,198 N G St,209-383-1848,Yes,-120.9011317,37.64084364
GVHC - Ceres East,CA,Ceres,1920 Memorial Dr,209-383-1848,Yes,-120.9610425,37.60015499
GVHC - TENAYA,CA,Modesto,2101 Tenaya Dr,209-576-6766,Yes,-120.9567341,37.6324492
GVHC Mobile Unit - Hanshaw,CA,Modesto,1717 Las Vegas St,209-383-1848,Yes,-121.0027492,37.60533358
GVHC - Hanshaw,CA,Modesto,1717 Las Vegas St,209-579-4200,Yes,-121.0027492,37.60533358
GVHC - Hanshaw Dental,CA,Modesto,1717 Las Vegas St Ste A,209-576-4200,Yes,-121.0027492,37.60533358
GVHC - Modesto Mission Health Center,CA,Modesto,209 Kerr Ave,209-383-1848,Yes,-120.971739,37.63665499
Central Valley PACE,CA,Modesto,2401 E Orangeburg Ave Ste 330,209-373-2800,Yes,-120.955411,37.66427902
Family and Pediatric Health Center,CA,Modesto,830 Scenic Dr Ste A,209-558-8400,No,-120.9824026,37.64720261
GVHC - ROBERTSON ROAD  ,CA,Modesto,1121 Hammond St,209-576-4437,Yes,-121.0186528,37.61473707
Paradise Medical Office,CA,Modesto,401 Paradise Rd Ste E,209-558-5107,No,-121.014601,37.628193
GVHC - WEST MODESTO,CA,Modesto,1114 6th St,209-576-2845,Yes,-121.0057278,37.63903227
GVHC - MODESTO CORNER OF HOPE,CA,Modesto,1130 6th St,209-491-5550,Yes,-121.006052,37.63959901
GVHC - Modesto Womens and Florida,CA,Modesto,1500 Florida Ave,209-574-1030,Yes,-120.995503,37.66574401
GHVC - Modesto Florida Suites,CA,Modesto,1510 Florida Ave,209-574-1365,Yes,-120.9962225,37.666052
GVHC-Florida North,CA,Modesto,1540 Florida Ave,209-383-1848,Yes,-120.995833,37.66711298
GVHC - RIVERBANK,CA,Riverbank,4150 Patterson Rd,209-383-1848,Yes,-120.9201251,37.73261982
GVHC - Modesto Tully Road,CA,Modesto,1801 Tully Rd Ste F,209-383-1848,Yes,-121.012888,37.670747
McHenry Medical Office,CA,Modesto,1209 Woodrow Ave Ste B10,209-558-7541,No,-121.0111042,37.6857452
"Community Medical Centers, Manteca",CA,Manteca,200 Cottage Ave,209-624-5800,Yes,-121.1982447,37.79953792
GVHC - Manteca,CA,Manteca,250 Northgate Dr,209-381-7120,Yes,-121.2191156,37.81870955
GVHC – Manteca Northgate West,CA,Manteca,302 Northgate Dr,209-383-1848,Yes,-121.2206292,37.81900586
Wesley Health Centers- Mobile Health Clinic II,CA,Lancaster,45104 10th St W,661-942-2391,Yes,-118.1480627,34.70247421
Wesley Health Centers- Health and Wellness Center,CA,Lancaster,45104 10th St W,661-942-2391,Yes,-118.1480627,34.70247421
Wesley Health and Wellness,CA,Lancaster,45104 10th St W,661-942-2391,Yes,-118.1480627,34.70247421
Wesley Health Centers- Mobile Health Clinic I,CA,Lancaster,45104 10th St W,661-992-2391,Yes,-118.1480627,34.70247421
Bartz-Altadonna Community Health Center,CA,Lancaster,43322 Gingham Ave,661-874-4050,Yes,-118.122245,34.66992275
WEDOCCAV Mobile Van,CA,Lancaster,43322 Gingham Ave,661-874-4050,Yes,-118.122245,34.66992275
SUD-MH  Medical Mobile Unit,CA,Lancaster,43322 Gingham Ave Ste 104,661-874-4050,Yes,-118.122245,34.66992275
Adelanto Community Health Center - County of San Bernardino,CA,Adelanto,11336 Bartlett Ave,760-956-4422,Yes,-117.417362,34.57924963
Tri-State Community Healthcare Center- Adelanto 2,CA,Adelanto,11328 Bartlett Ave Ste 3,760-237-8848,No,-117.417119,34.57920749
Tri-State Community Healthcare Center- Mobile Unit,CA,Adelanto,11888 Bartlett Ave,760-530-9944,No,-117.406829,34.57950702
Tri-State Community Healthcare Center-Adelanto,CA,Adelanto,11888 Bartlett Ave,760-530-9944,No,-117.406829,34.57950702
Wesley Palmdale East,CA,Palmdale,37926 47th St E,661-942-2391,Yes,-118.0449626,34.57119914
Wesley Health Centers- Palmdale East,CA,Palmdale,37926 47th St E,661-942-2391,Yes,-118.0449626,34.57119914
2520 E Palmdale Blvd Palmdale CA 93550,CA,Palmdale,2520 E Palmdale Blvd Ste A,661-874-4050,Yes,-118.084332,34.579209
Wesley Palmdale,CA,Palmdale,2151 E Palmdale Blvd,661-942-2391,Yes,-118.089914,34.580453
Wesley Health Centers- Palmdale Central,CA,Palmdale,2151 E Palmdale Blvd,661-942-2391,Yes,-118.089914,34.580453
St. Mary Health Centers - Adelanto,CA,Adelanto,11965 Cactus Rd Ste Ijk,760-946-4240,Yes,-117.4025892,34.53575834
Banning Family Community Health Center,CA,Banning,1070 E Ramsey St,909-881-6146,Yes,-116.864469,33.92534252
Banning Family Care Center,CA,Banning,3055 W Ramsey St,951-849-6794,Yes,-116.910237,33.92577745
Rancho Paseo Medical Group,CA,Banning,264 N Highland Springs Ave Ste 4,760-520-8300,Yes,-116.945802,33.930618
"Stanley H Schwartz, M.D., Inc.",CA,Banning,264 N Highland Springs Ave Ste 1A # 1-B,951-769-7191,Yes,-116.945822,33.930639
San Jacinto Preschool ~ Hyatt,CA,San Jacinto,465 El Monte St,760-520-8300,Yes,-116.9540422,33.77573898
SAN JACINTO HEALTH CENTER,CA,San Jacinto,651 N State St,951-487-8506,Yes,-116.9715102,33.79517684
San Jacinto Preschool,CA,San Jacinto,257 S Grand Army Ave,951-216-6100,Yes,-116.9655935,33.7867119
Hemet High School,CA,Hemet,41701 Stetson Ave,760-520-8300,Yes,-116.933239,33.728929
Tri-State Community Healthcare Center-Hemet,CA,Hemet,540 N San Jacinto St Ste P,951-929-4000,No,-116.957645,33.75532701
SJ Medical Group,CA,Hemet,422 N San Jacinto St Ste A,760-520-8300,Yes,-116.9586355,33.75358487
Neighborhood Healthcare ~ Devonshire Avenue,CA,Hemet,903 E Devonshire Ave Ste D,760-520-8300,Yes,-116.962775,33.750651
Alessandro High School,CA,Hemet,831 E Devonshire Ave,760-520-8300,Yes,-116.96341,33.750903
Hemet Family Care Center,CA,Hemet,880 N State St,951-766-2450,Yes,-116.9717546,33.76162701
Hemet Medical and Dental Center,CA,Hemet,1023 E Florida Ave,760-344-9951,Yes,-116.961098,33.74755254
"Diamond Valley Middle School, Room 402",CA,Hemet,291 W Chambers Ave,760-520-8300,Yes,-116.9745089,33.72200408
"Tahquitz High School, Room 721",CA,Hemet,4425 Titan Trl,760-520-8300,Yes,-117.0187766,33.76904802
"Rancho Viejo Middle School, Room 310",CA,Hemet,985 N Cawston Ave,760-520-8300,Yes,-117.0153512,33.76375053
JAY HOFFMAN HEALTH CENTER,CA,Nuevo,29490 Lakeview Ave,951-928-2805,Yes,-117.1323207,33.81755954
Main Campus Community Health Center,CA,Moreno Valley,26600 Cactus Ave Ste 300,951-988-9500,Yes,-117.193334,33.91013749
St. Mary Health Centers' Mobile Clinics,CA,Apple Valley,18300 US Highway 18,760-946-4240,Yes,-117.265348,34.54226002
St. Mary Health Centers - Apple Valley,CA,Apple Valley,18077 US Highway 18 Ste 100,760-946-4240,Yes,-117.2694605,34.54024057
Mission City Community Network - Victorville,CA,Victorville,15201 Eleventh St Ste 300,650-243-6928,Yes,-117.2925026,34.52725809
Tejas Health Care Giddings: Decker Building,TX,Giddings,185 Decker Dr,979-968-2000,Yes,-96.92674196,30.19107272
HealthPoint Caldwell,TX,Caldwell,1103 Woodson Dr,979-567-7080,Yes,-96.71679792,30.52032318
ROBERTSON COUNTY COMM HLTH CLIN,TX,Hearne,1000 W Brown St,979-279-0701,Yes,-96.60030405,30.87153469
HealthPoint Hearne,TX,Hearne,709 Barton St,979-279-3451,Yes,-96.59531619,30.87109792
HealthPoint Franklin,TX,Franklin,808 W US Highway 79,979-000-0000,Yes,-96.4943121,31.01996589
Family Health Center at Virginia Parkway,TX,Mckinney,120 S Central Expy,940-766-6306,Yes,-96.63951183,33.19776817
Women's Health Center of McKinney,TX,Mckinney,4510 Medical Center Dr Ste 201,214-618-5600,Yes,-96.63734603,33.160023
Central Oklahoma Family Medical Center - Ada,OK,Ada,1221 Arlington St Ste B,580-925-3286,Yes,-96.66104014,34.78159028
Central Oklahoma Family Medical Center,OK,Ada,905 Colony Dr Bldg,580-436-5111,Yes,-96.65485004,34.81638002
BRYAN COLLEGE STATION CHC,TX,Bryan,3370 S Texas Ave,979-595-1700,Yes,-96.35017297,30.63891299
HealthPoint Bryan Dental,TX,Bryan,1615 Barak Ln,979-846-2500,Yes,-96.33891004,30.65147599
HealthPoint Memorial,TX,Bryan,1301 Memorial Dr,979-595-1700,Yes,-96.34539143,30.65137503
Health Point - Bryan,TX,Bryan,2700 E 29th St Ste 300,979-776-0371,Yes,-96.34581606,30.65682889
HealthPoint Madisonville,TX,Madisonville,100 W Cross St,936-348-3418,Yes,-95.90999472,30.94204614
LEON COUNTY COMMUNITY HLTH CTR,TX,Centerville,607 W Lassater,903-536-3687,Yes,-95.98143285,31.24670742
Crossroads Family Care Palestine,TX,Palestine,4002 S Loop 256 Ste K,903-729-3015,Yes,-95.64242904,31.73996926
Crossroads Family Care Palestine,TX,Palestine,205 E Brazos St,903-722-3015,Yes,-95.627668,31.75374274
Carevide,TX,Kaufman,2600 Commerce Way Ste 100,972-750-3177,Yes,-96.29878397,32.57130181
FAMILY Circle of Care Athens Clinic,TX,Athens,1001 N Palestine St,903-535-9041,Yes,-95.85335725,32.21901724
ECOFHC Wewoka,OK,Wewoka,121 N Mekusukey Ave,405-257-5422,Yes,-96.49345721,35.15898029
True North Health Center,TX,Jacksonville,1011 College Ave,903-541-2571,Yes,-95.27655058,31.95169136
FAMILY Circle of Care Jacksonville Clinic,TX,Jacksonville,510 E Commerce St,903-535-9041,Yes,-95.26966703,31.965306
Rusk County Community Health Center,TX,Henderson,1200 US Highway 259 S,903-392-8203,Yes,-94.78955313,32.14260151
"Community Health Care, Inc. Rock Island Clinic",IL,Rock Island,2750 11th St,563-327-2100,Yes,-90.58302662,41.48228864
"Community Health Care, Inc. - Robert Young Center",IL,Rock Island,2200 3rd Ave,309-779-2035,Yes,-90.56846013,41.50988253
"Community Health Care, Inc. River Drive Clinic",IA,Davenport,500 W River Dr,563-336-3000,Yes,-90.58077004,41.52030744
Community Health Care Inc. Dental Clinic,IA,Davenport,125 Scott St,563-336-3221,Yes,-90.57953204,41.52103202
"Community Health Care, Inc. Iowa Homeless Drop-In Clinic",IA,Davenport,303 W 6th St,563-322-8890,Yes,-90.57739356,41.52570254
"Community Health Care, Inc. Moline",IL,Moline,1106 4th Ave,563-336-2100,Yes,-90.52198876,41.50537252
Knox Community Health Center,IL,Galesburg,1361 W Fremont St,309-344-2225,Yes,-90.39237981,40.96238747
Edgerton Women's Health Center,IA,Davenport,1510 E Rusholme St,563-336-3000,Yes,-90.55340397,41.543263
Adult Rehabilitation Center,IA,Davenport,4001 N Brady St,563-323-2748,Yes,-90.56795378,41.56210372
"Community Health Care, Inc. East Moline Clinic",IL,East Moline,708 15th Ave,563-336-3008,Yes,-90.44443747,41.5158326
